Origin Time:2020/01/01 03:10:10
Lon:121.67°E
Lat:24.08°N
Depth:10.8km
Mag:4.9
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  62.20,AZ=170.86,PGA(V)=   1.30,PGA(NS)=   4.04,PGA(EW)=   3.76,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.82,PGV(SUM)=   0.14
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  70.31,AZ=180.98,PGA(V)=   0.41,PGA(NS)=   1.16,PGA(EW)=   1.28,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.11
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  72.30,AZ=154.70,PGA(V)=   0.50,PGA(NS)=   0.84,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.07
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  72.99,AZ= 28.44,PGA(V)=   0.58,PGA(NS)=   0.75,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.03
Stacode=WPL ,Staname=埔里  ,Stalon=120.95,Stalat=24.01,Dist=  73.81,AZ= 84.03,PGA(V)=   0.40,PGA(NS)=   0.85,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.07
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  75.86,AZ=186.55,PGA(V)=   0.51,PGA(NS)=   0.93,PGA(EW)=   1.08,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.11
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  76.76,AZ=106.29,PGA(V)=   0.40,PGA(NS)=   1.06,PGA(EW)=   0.58,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.12
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  80.77,AZ= 73.92,PGA(V)=   0.62,PGA(NS)=   2.11,PGA(EW)=   2.57,PGV(V)=   0.05,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.60,PGV(SUM)=   0.20
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  86.91,AZ=190.67,PGA(V)=   0.59,PGA(NS)=   0.71,PGA(EW)=   0.82,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.09
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  91.74,AZ=146.83,PGA(V)=   0.46,PGA(NS)=   1.18,PGA(EW)=   1.03,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.10
