Origin Time:2024/03/13 21:36:54
Lon:121.94°E
Lat:24.39°N
Depth:27.5km
Mag:4.7
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  72.47,BAZ= 77.73,PGA(V)=   0.43,PGA(NS)=   1.21,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  73.07,BAZ= 68.36,PGA(V)=   0.47,PGA(NS)=   1.11,PGA(EW)=   1.47,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.07
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  76.18,BAZ=146.41,PGA(V)=   1.28,PGA(NS)=   1.09,PGA(EW)=   0.87,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.06
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist=  77.57,BAZ=167.95,PGA(V)=   0.64,PGA(NS)=   0.93,PGA(EW)=   1.26,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.09
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  80.58,BAZ= 79.13,PGA(V)=   0.41,PGA(NS)=   1.27,PGA(EW)=   0.59,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.08
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist=  82.26,BAZ=158.26,PGA(V)=   0.60,PGA(NS)=   1.82,PGA(EW)=   1.37,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.06
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist=  84.08,BAZ=149.04,PGA(V)=   0.58,PGA(NS)=   0.93,PGA(EW)=   0.52,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.09
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  88.84,BAZ=119.13,PGA(V)=   0.37,PGA(NS)=   0.81,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  94.11,BAZ=136.18,PGA(V)=   0.37,PGA(NS)=   0.85,PGA(EW)=   0.84,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.07
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  94.70,BAZ=114.09,PGA(V)=   0.49,PGA(NS)=   0.95,PGA(EW)=   1.27,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.06
