Origin Time:2021/07/14 06:52:05
Lon:121.60°E
Lat:23.94°N
Depth:8.7km
Mag:5.4
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  59.90,AZ=158.27,PGA(V)=   2.97,PGA(NS)=   8.14,PGA(EW)=   5.70,PGV(V)=   0.14,PGV(NS)=   0.36,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   7.72,PGV(SUM)=   0.46
Stacode=WPL ,Staname=埔里  ,Stalon=120.95,Stalat=24.01,Dist=  66.77,AZ= 97.53,PGA(V)=   2.40,PGA(NS)=   2.85,PGA(EW)=   1.67,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.92,PGV(SUM)=   0.15
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  70.18,AZ= 12.47,PGA(V)=   1.14,PGA(NS)=   2.84,PGA(EW)=   2.13,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   2.79,PGV(SUM)=   0.36
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  70.64,AZ= 85.17,PGA(V)=   1.64,PGA(NS)=   2.40,PGA(EW)=   4.49,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   4.55,PGV(SUM)=   0.33
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  71.11,AZ= 23.73,PGA(V)=   0.76,PGA(NS)=   2.04,PGA(EW)=   1.45,PGV(V)=   0.11,PGV(NS)=   0.27,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.28
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  71.29,AZ=100.89,PGA(V)=   1.27,PGA(NS)=   1.84,PGA(EW)=   1.51,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.84,PGV(SUM)=   0.10
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  74.39,AZ= 87.46,PGA(V)=   0.43,PGA(NS)=   0.74,PGA(EW)=   0.65,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.13
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  74.46,AZ=173.20,PGA(V)=   0.80,PGA(NS)=   1.48,PGA(EW)=   2.26,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.36,PGV(SUM)=   0.15
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  76.54,AZ=119.73,PGA(V)=   0.78,PGA(NS)=   1.80,PGA(EW)=   1.58,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.14
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  78.33,AZ=188.73,PGA(V)=   2.26,PGA(NS)=   2.53,PGA(EW)=   5.22,PGV(V)=   0.15,PGV(NS)=   0.16,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   5.21,PGV(SUM)=   0.30
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  79.09,AZ=199.48,PGA(V)=   0.88,PGA(NS)=   2.14,PGA(EW)=   1.42,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.11
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  80.52,AZ= 70.82,PGA(V)=   0.66,PGA(NS)=   1.50,PGA(EW)=   1.33,PGV(V)=   0.08,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.10
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  82.00,AZ= 52.80,PGA(V)=   1.15,PGA(NS)=   2.10,PGA(EW)=   3.10,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.10,PGV(SUM)=   0.22
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  85.15,AZ=163.86,PGA(V)=   0.71,PGA(NS)=   1.15,PGA(EW)=   2.88,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   2.91,PGV(SUM)=   0.18
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  87.14,AZ=185.56,PGA(V)=   0.85,PGA(NS)=   2.63,PGA(EW)=   1.84,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   2.79,PGV(SUM)=   0.20
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  87.32,AZ= 20.94,PGA(V)=   1.60,PGA(NS)=   2.44,PGA(EW)=   2.18,PGV(V)=   0.14,PGV(NS)=   0.17,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.74,PGV(SUM)=   0.22
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  89.66,AZ= 81.97,PGA(V)=   0.90,PGA(NS)=   1.55,PGA(EW)=   1.54,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.25
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  91.39,AZ=147.63,PGA(V)=   0.78,PGA(NS)=   0.96,PGA(EW)=   0.96,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.07
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  92.49,AZ= 97.41,PGA(V)=   0.81,PGA(NS)=   1.33,PGA(EW)=   1.59,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.26
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  92.59,AZ= 86.00,PGA(V)=   0.68,PGA(NS)=   1.25,PGA(EW)=   1.33,PGV(V)=   0.10,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.12
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  93.06,AZ= 59.48,PGA(V)=   0.53,PGA(NS)=   1.08,PGA(EW)=   1.70,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.16
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  93.16,AZ=189.82,PGA(V)=   0.84,PGA(NS)=   2.37,PGA(EW)=   1.72,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   2.39,PGV(SUM)=   0.23
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  93.70,AZ= 88.09,PGA(V)=   1.22,PGA(NS)=   1.08,PGA(EW)=   1.21,PGV(V)=   0.10,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.14
Stacode=NWL ,Staname=烏來  ,Stalon=121.50,Stalat=24.78,Dist=  93.80,AZ=173.97,PGA(V)=   0.81,PGA(NS)=   1.37,PGA(EW)=   1.07,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.08
