Origin Time:2022/02/16 13:41:59
Lon:121.46°E
Lat:23.92°N
Depth:20.8km
Mag:4.4
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  96.20,AZ=256.47,PGA(V)=   0.55,PGA(NS)=   0.89,PGA(EW)=   0.70,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.04
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 101.83,AZ=238.57,PGA(V)=   0.31,PGA(NS)=   0.79,PGA(EW)=   0.63,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.03
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 108.89,AZ=246.88,PGA(V)=   0.46,PGA(NS)=   0.73,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.04
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 109.82,AZ=269.11,PGA(V)=   0.89,PGA(NS)=   1.29,PGA(EW)=   1.38,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.07
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 111.78,AZ=256.81,PGA(V)=   0.52,PGA(NS)=   0.94,PGA(EW)=   0.91,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.03
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 114.40,AZ=245.90,PGA(V)=   0.24,PGA(NS)=   0.74,PGA(EW)=   0.71,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.03
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 119.04,AZ=267.00,PGA(V)=   0.42,PGA(NS)=   0.74,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.04
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 126.28,AZ=264.26,PGA(V)=   0.79,PGA(NS)=   0.74,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.05
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 128.86,AZ=255.99,PGA(V)=   0.68,PGA(NS)=   1.51,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.05
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 129.11,AZ=246.71,PGA(V)=   0.31,PGA(NS)=   0.40,PGA(EW)=   0.85,PGV(V)=   0.01,PGV(NS)=   0.01,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.03
