Origin Time:2020/06/27 07:27:44
Lon:120.84¢XE
Lat:23.05¢XN
Depth:5.4km
Mag:5.0
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  51.89,AZ=345.76,PGA(V)=   2.08,PGA(NS)=   3.41,PGA(EW)=   2.38,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.79,PGV(SUM)=   0.13
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist=  54.64,AZ= 41.07,PGA(V)=   0.73,PGA(NS)=   1.56,PGA(EW)=   1.72,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.25,Int= 1¯Å,PGA(SUM)=   1.86,PGV(SUM)=   0.25
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  55.10,AZ=264.51,PGA(V)=   1.30,PGA(NS)=   3.29,PGA(EW)=   3.21,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.37,PGV(SUM)=   0.23
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  57.10,AZ= 99.58,PGA(V)=   0.91,PGA(NS)=   1.70,PGA(EW)=   2.43,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.27,Int= 1¯Å,PGA(SUM)=   2.47,PGV(SUM)=   0.27
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  61.13,AZ= 57.47,PGA(V)=   1.35,PGA(NS)=   2.00,PGA(EW)=   1.95,PGV(V)=   0.06,PGV(NS)=   0.28,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.28
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  61.63,AZ= 88.74,PGA(V)=   0.51,PGA(NS)=   1.15,PGA(EW)=   1.29,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.16
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  64.49,AZ=140.01,PGA(V)=   0.50,PGA(NS)=   1.47,PGA(EW)=   1.27,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.53,PGV(SUM)=   0.12
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  65.01,AZ=145.14,PGA(V)=   0.90,PGA(NS)=   1.37,PGA(EW)=   1.29,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.09
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist=  65.94,AZ= 84.70,PGA(V)=   0.65,PGA(NS)=   1.21,PGA(EW)=   1.32,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.17
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  66.55,AZ=101.84,PGA(V)=   0.59,PGA(NS)=   1.09,PGA(EW)=   1.28,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.16
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  68.58,AZ= 23.80,PGA(V)=   1.25,PGA(NS)=   1.22,PGA(EW)=   0.92,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.14
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  71.03,AZ=117.61,PGA(V)=   0.41,PGA(NS)=   0.82,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.09
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  71.55,AZ=181.27,PGA(V)=   0.57,PGA(NS)=   0.80,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  74.02,AZ=358.51,PGA(V)=   0.43,PGA(NS)=   0.97,PGA(EW)=   0.60,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.07
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist=  74.41,AZ= 52.58,PGA(V)=   0.33,PGA(NS)=   0.75,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.08
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  75.37,AZ=158.74,PGA(V)=   0.72,PGA(NS)=   1.18,PGA(EW)=   0.97,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.10
Stacode=KAU ,Staname=°ª¶¯¥«,Stalon=120.32,Stalat=22.57,Dist=  75.77,AZ= 44.99,PGA(V)=   0.80,PGA(NS)=   1.26,PGA(EW)=   1.47,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.19
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  77.09,AZ=302.78,PGA(V)=   0.52,PGA(NS)=   0.73,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.07
