Origin Time:2022/09/30 22:37:20
Lon:121.29¢XE
Lat:22.88¢XN
Depth:18.6km
Mag:4.9
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  75.33,AZ=333.48,PGA(V)=   0.45,PGA(NS)=   1.76,PGA(EW)=   2.17,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.10
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  79.26,AZ=300.67,PGA(V)=   0.47,PGA(NS)=   1.30,PGA(EW)=   1.66,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.08
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  81.45,AZ=270.54,PGA(V)=   0.76,PGA(NS)=   1.22,PGA(EW)=   1.05,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.09
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  82.81,AZ=258.04,PGA(V)=   0.29,PGA(NS)=   1.05,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.11
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  84.96,AZ=325.15,PGA(V)=   0.37,PGA(NS)=   1.05,PGA(EW)=   0.91,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.06
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist=  85.07,AZ=254.87,PGA(V)=   0.34,PGA(NS)=   0.76,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.06
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  85.91,AZ=239.38,PGA(V)=   0.56,PGA(NS)=   1.19,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.10
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  93.45,AZ=311.56,PGA(V)=   0.68,PGA(NS)=   1.88,PGA(EW)=   1.78,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.99,PGV(SUM)=   0.12
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  95.59,AZ= 16.14,PGA(V)=   0.43,PGA(NS)=   0.81,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.03
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist=  97.23,AZ=163.37,PGA(V)=   1.03,PGA(NS)=   3.88,PGA(EW)=   2.19,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.89,PGV(SUM)=   0.12
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  97.65,AZ=279.31,PGA(V)=   0.59,PGA(NS)=   0.97,PGA(EW)=   1.19,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.11
