Origin Time:2020/07/26 20:52:29
Lon:122.42°E
Lat:24.26°N
Depth:53.6km
Mag:6.2
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 117.38,AZ= 83.95,PGA(V)=   2.27,PGA(NS)=   5.00,PGA(EW)=   5.32,PGV(V)=   0.18,PGV(NS)=   0.31,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   6.16,PGV(SUM)=   0.34
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist= 118.78,AZ=146.49,PGA(V)=   1.40,PGA(NS)=   3.06,PGA(EW)=   1.93,PGV(V)=   0.10,PGV(NS)=   0.31,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.33
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 119.95,AZ=130.82,PGA(V)=   2.62,PGA(NS)=   5.18,PGA(EW)=   4.40,PGV(V)=   0.10,PGV(NS)=   0.34,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   5.53,PGV(SUM)=   0.39
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist= 120.22,AZ= 57.30,PGA(V)=   5.31,PGA(NS)=  12.01,PGA(EW)=   7.18,PGV(V)=   0.27,PGV(NS)=   0.63,PGV(EW)=   0.55,Int= 3級,PGA(SUM)=  12.80,PGV(SUM)=   0.65
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 122.42,AZ=135.19,PGA(V)=   3.48,PGA(NS)=   3.07,PGA(EW)=   3.43,PGV(V)=   0.16,PGV(NS)=   0.24,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   4.35,PGV(SUM)=   0.31
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 126.32,AZ=133.33,PGA(V)=   0.72,PGA(NS)=   2.79,PGA(EW)=   1.83,PGV(V)=   0.04,PGV(NS)=   0.25,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   2.85,PGV(SUM)=   0.27
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 127.89,AZ= 89.72,PGA(V)=   1.62,PGA(NS)=   4.03,PGA(EW)=   2.54,PGV(V)=   0.10,PGV(NS)=   0.31,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.23,PGV(SUM)=   0.34
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 128.84,AZ=129.66,PGA(V)=   1.61,PGA(NS)=   3.47,PGA(EW)=   3.75,PGV(V)=   0.13,PGV(NS)=   0.34,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   4.35,PGV(SUM)=   0.37
Stacode=NWR ,Staname=萬里  ,Stalon=121.66,Stalat=25.20,Dist= 130.19,AZ=143.73,PGA(V)=   0.77,PGA(NS)=   1.99,PGA(EW)=   1.50,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.13,PGV(SUM)=   0.12
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 130.93,AZ= 75.27,PGA(V)=   3.05,PGA(NS)=   5.79,PGA(EW)=   3.56,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.48,PGV(SUM)=   0.18
