Origin Time:2024/04/23 03:13:40
Lon:121.55¢XE
Lat:23.87¢XN
Depth:5.1km
Mag:4.8
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  68.36,BAZ=200.00,PGA(V)=   0.97,PGA(NS)=   1.76,PGA(EW)=   1.47,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.11
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  73.18,BAZ= 55.14,PGA(V)=   0.36,PGA(NS)=   1.02,PGA(EW)=   1.36,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.07
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  85.63,BAZ=181.74,PGA(V)=   0.34,PGA(NS)=   1.07,PGA(EW)=   0.92,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.07
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  86.88,BAZ=191.37,PGA(V)=   0.74,PGA(NS)=   1.08,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.09
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  88.57,BAZ=102.79,PGA(V)=   0.37,PGA(NS)=   0.79,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.07
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  91.45,BAZ=168.37,PGA(V)=   0.39,PGA(NS)=   0.62,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.05
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  93.64,BAZ= 71.54,PGA(V)=   0.26,PGA(NS)=   0.94,PGA(EW)=   1.54,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.12
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 101.65,BAZ= 78.65,PGA(V)=   0.35,PGA(NS)=   0.62,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.08
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 103.50,BAZ=103.27,PGA(V)=   0.40,PGA(NS)=   1.11,PGA(EW)=   1.42,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.08
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 104.22,BAZ= 80.82,PGA(V)=   0.25,PGA(NS)=   1.10,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.11
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 107.88,BAZ=159.47,PGA(V)=   0.25,PGA(NS)=   0.58,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 115.70,BAZ=100.49,PGA(V)=   0.22,PGA(NS)=   0.68,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.06
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 119.22,BAZ= 92.00,PGA(V)=   0.35,PGA(NS)=   1.23,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.10
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 119.80,BAZ= 80.56,PGA(V)=   0.25,PGA(NS)=   0.89,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.11
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 128.22,BAZ= 89.84,PGA(V)=   0.19,PGA(NS)=   0.81,PGA(EW)=   0.50,PGV(V)=   0.01,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.08
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 135.14,BAZ= 87.15,PGA(V)=   0.39,PGA(NS)=   0.96,PGA(EW)=   0.67,PGV(V)=   0.01,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.09
