Origin Time:2022/06/25 10:27:19
Lon:121.40¢XE
Lat:23.64¢XN
Depth:9.4km
Mag:5.0
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  61.41,AZ= 21.27,PGA(V)=   0.82,PGA(NS)=   3.36,PGA(EW)=   3.12,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   2.29,PGV(SUM)=   0.06
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.95,Stalat=24.01,Dist=  62.05,AZ=311.67,PGA(V)=   0.73,PGA(NS)=   0.77,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.03
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  62.08,AZ=256.25,PGA(V)=   2.71,PGA(NS)=   4.71,PGA(EW)=   9.51,PGV(V)=   0.14,PGV(NS)=   0.31,PGV(EW)=   0.53,Int= 3¯Å,PGA(SUM)=  10.14,PGV(SUM)=   0.55
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  63.11,AZ=  7.19,PGA(V)=   4.23,PGA(NS)=   4.72,PGA(EW)=   4.06,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.43,PGV(SUM)=   0.15
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  63.38,AZ=197.36,PGA(V)=   1.29,PGA(NS)=   1.79,PGA(EW)=   2.11,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   2.16,PGV(SUM)=   0.20
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  63.51,AZ=217.60,PGA(V)=   2.99,PGA(NS)=   2.78,PGA(EW)=   4.36,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.61,PGV(SUM)=   0.13
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  68.05,AZ=312.50,PGA(V)=   0.71,PGA(NS)=   1.41,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.42,PGV(SUM)=   0.05
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  69.08,AZ=346.33,PGA(V)=   0.79,PGA(NS)=   2.14,PGA(EW)=   2.26,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.63,PGV(SUM)=   0.11
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  71.71,AZ=339.90,PGA(V)=   0.92,PGA(NS)=   2.38,PGA(EW)=   1.81,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.46,PGV(SUM)=   0.12
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  71.78,AZ=286.16,PGA(V)=   0.49,PGA(NS)=   0.89,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.10
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  74.30,AZ=266.22,PGA(V)=   1.12,PGA(NS)=   2.29,PGA(EW)=   1.79,PGV(V)=   0.07,PGV(NS)=   0.21,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.72,PGV(SUM)=   0.25
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  74.79,AZ=187.88,PGA(V)=   1.07,PGA(NS)=   1.65,PGA(EW)=   2.42,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.49,PGV(SUM)=   0.12
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  77.07,AZ=289.75,PGA(V)=   0.86,PGA(NS)=   1.11,PGA(EW)=   1.35,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.10
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  81.68,AZ= 25.44,PGA(V)=   0.80,PGA(NS)=   0.80,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.03
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  81.69,AZ=231.21,PGA(V)=   0.88,PGA(NS)=   1.55,PGA(EW)=   1.98,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.06
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  84.52,AZ=301.72,PGA(V)=   0.90,PGA(NS)=   0.87,PGA(EW)=   0.70,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.12
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  84.66,AZ=254.60,PGA(V)=   1.72,PGA(NS)=   4.81,PGA(EW)=   3.52,PGV(V)=   0.09,PGV(NS)=   0.27,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.81,PGV(SUM)=   0.27
