Origin Time:2022/03/23 09:55:55
Lon:121.48°E
Lat:23.45°N
Depth:26.8km
Mag:4.7
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  68.42,AZ=275.80,PGA(V)=   1.10,PGA(NS)=   0.87,PGA(EW)=   0.67,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.04
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  69.66,AZ=210.95,PGA(V)=   0.66,PGA(NS)=   0.82,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.06
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  69.71,AZ=293.43,PGA(V)=   0.45,PGA(NS)=   0.83,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.05
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  77.31,AZ=247.56,PGA(V)=   0.79,PGA(NS)=   1.84,PGA(EW)=   1.53,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.07
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  80.10,AZ=344.70,PGA(V)=   0.51,PGA(NS)=   0.94,PGA(EW)=   2.01,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.91,PGV(SUM)=   0.07
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  80.23,AZ= 10.48,PGA(V)=   0.34,PGA(NS)=   1.36,PGA(EW)=   1.38,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.03
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  83.62,AZ=281.57,PGA(V)=   0.88,PGA(NS)=   1.07,PGA(EW)=   1.39,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.08
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  84.28,AZ=  0.14,PGA(V)=   1.03,PGA(NS)=   1.95,PGA(EW)=   1.53,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.06
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  85.56,AZ=180.72,PGA(V)=   0.49,PGA(NS)=   0.77,PGA(EW)=   0.54,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.03
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  89.42,AZ=269.48,PGA(V)=   0.60,PGA(NS)=   1.93,PGA(EW)=   1.57,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.23,PGV(SUM)=   0.08
