Origin Time:2018/03/29 08:17:50
Lon:121.01°E
Lat:24.00°N
Depth:11.1km
Mag:5.0
Stacode=NST ,Staname=獅頭山,Stalon=121.01,Stalat=24.63,Dist=  69.26,AZ=179.50,PGA(V)=   0.60,PGA(NS)=   1.44,PGA(EW)=   1.44
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist=  75.54,AZ= 77.93,PGA(V)=   1.97,PGA(NS)=   8.97,PGA(EW)=   4.85
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  76.67,AZ=168.98,PGA(V)=   1.85,PGA(NS)=   2.45,PGA(EW)=   2.93
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  81.38,AZ=185.25,PGA(V)=   1.08,PGA(NS)=   2.63,PGA(EW)=   2.09
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  81.77,AZ= 46.51,PGA(V)=   1.91,PGA(NS)=   4.85,PGA(EW)=   5.38
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  81.84,AZ=245.76,PGA(V)=   1.74,PGA(NS)=   3.17,PGA(EW)=   2.03
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  82.32,AZ=205.72,PGA(V)=   0.48,PGA(NS)=   0.96,PGA(EW)=   0.72
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist=  84.08,AZ= 30.68,PGA(V)=   1.62,PGA(NS)=   3.17,PGA(EW)=   1.91
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist=  85.77,AZ=180.25,PGA(V)=   1.68,PGA(NS)=   0.90,PGA(EW)=   1.20
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  88.00,AZ=237.95,PGA(V)=   1.08,PGA(NS)=   2.27,PGA(EW)=   2.63
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  89.74,AZ= 63.00,PGA(V)=   3.35,PGA(NS)=   7.90,PGA(EW)=   5.92
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  90.20,AZ=218.97,PGA(V)=   0.54,PGA(NS)=   2.33,PGA(EW)=   3.05
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  90.51,AZ=359.32,PGA(V)=   1.02,PGA(NS)=   1.32,PGA(EW)=   1.14
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  91.27,AZ=179.97,PGA(V)=   1.02,PGA(NS)=   1.20,PGA(EW)=   0.96
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  93.25,AZ= 25.42,PGA(V)=   0.48,PGA(NS)=   0.96,PGA(EW)=   0.90
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  96.80,AZ= 15.21,PGA(V)=   0.66,PGA(NS)=   1.14,PGA(EW)=   1.14
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist=  97.24,AZ= 32.52,PGA(V)=   0.78,PGA(NS)=   0.78,PGA(EW)=   0.96
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist=  97.84,AZ= 53.87,PGA(V)=   1.20,PGA(NS)=   2.57,PGA(EW)=   2.81
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 103.40,AZ= 28.67,PGA(V)=   1.02,PGA(NS)=   1.97,PGA(EW)=   1.26
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 108.22,AZ=189.70,PGA(V)=   0.90,PGA(NS)=   0.60,PGA(EW)=   0.60
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 111.10,AZ= 22.93,PGA(V)=   0.42,PGA(NS)=   0.90,PGA(EW)=   0.84
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 121.40,AZ= 37.65,PGA(V)=   1.79,PGA(NS)=   3.41,PGA(EW)=   2.57
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 122.40,AZ= 32.83,PGA(V)=   1.02,PGA(NS)=   1.91,PGA(EW)=   2.21
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 123.88,AZ= 42.05,PGA(V)=   1.32,PGA(NS)=   4.73,PGA(EW)=   6.28
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 133.27,AZ= 36.59,PGA(V)=   1.56,PGA(NS)=   2.69,PGA(EW)=   2.27
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 134.15,AZ= 44.94,PGA(V)=   0.78,PGA(NS)=   2.93,PGA(EW)=   2.09
Stacode=TAI ,Staname=臺南市,Stalon=120.21,Stalat=22.99,Dist= 139.19,AZ= 36.45,PGA(V)=   1.08,PGA(NS)=   0.84,PGA(EW)=   0.78
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 155.68,AZ= 71.79,PGA(V)=   1.38,PGA(NS)=   4.85,PGA(EW)=   3.47
