Origin Time:2024/11/07 01:19:39
Lon:121.55¢XE
Lat:23.56¢XN
Depth:32.5km
Mag:5.5
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  70.25,BAZ= 21.10,PGA(V)=  19.68,PGA(NS)=  30.98,PGA(EW)=  25.89,PGV(V)=   0.58,PGV(NS)=   1.33,PGV(EW)=   1.13,Int= 4¯Å,PGA(SUM)=  31.27,PGV(SUM)=   1.44
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  72.69,BAZ=101.58,PGA(V)=   2.45,PGA(NS)=   6.74,PGA(EW)=   3.67,PGV(V)=   0.13,PGV(NS)=   0.30,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   7.10,PGV(SUM)=   0.36
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  74.36,BAZ=118.17,PGA(V)=   2.01,PGA(NS)=   2.43,PGA(EW)=   3.72,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   3.95,PGV(SUM)=   0.32
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  75.58,BAZ= 85.30,PGA(V)=   3.50,PGA(NS)=   5.13,PGA(EW)=   5.57,PGV(V)=   0.13,PGV(NS)=   0.36,PGV(EW)=   0.37,Int= 2¯Å,PGA(SUM)=   5.79,PGV(SUM)=   0.38
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  78.26,BAZ=129.35,PGA(V)=   1.48,PGA(NS)=   1.56,PGA(EW)=   1.78,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.11
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  79.05,BAZ=118.51,PGA(V)=   1.08,PGA(NS)=   1.31,PGA(EW)=   1.01,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.09
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  81.89,BAZ=157.53,PGA(V)=   2.28,PGA(NS)=   5.20,PGA(EW)=   5.57,PGV(V)=   0.12,PGV(NS)=   0.24,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   5.96,PGV(SUM)=   0.25
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  84.67,BAZ= 30.61,PGA(V)=   2.24,PGA(NS)=   3.20,PGA(EW)=   3.45,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   3.73,PGV(SUM)=   0.23
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  84.96,BAZ=129.92,PGA(V)=   1.90,PGA(NS)=   4.11,PGA(EW)=   3.20,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.98,PGV(SUM)=   0.13
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  85.62,BAZ=152.42,PGA(V)=   1.95,PGA(NS)=   5.39,PGA(EW)=   3.32,PGV(V)=   0.11,PGV(NS)=   0.23,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   5.30,PGV(SUM)=   0.28
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  86.86,BAZ=192.74,PGA(V)=   2.55,PGA(NS)=   2.70,PGA(EW)=   2.92,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.98,PGV(SUM)=   0.15
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  88.67,BAZ=108.77,PGA(V)=   1.73,PGA(NS)=   3.51,PGA(EW)=   2.91,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.56,PGV(SUM)=   0.20
