Origin Time:2025/01/21 00:29:23
Lon:120.55¢XE
Lat:23.15¢XN
Depth:12.8km
Mag:4.7
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  47.68,BAZ=214.47,PGA(V)=   1.00,PGA(NS)=   3.98,PGA(EW)=   2.68,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.44,PGV(SUM)=   0.12
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  47.91,BAZ=  6.24,PGA(V)=   0.50,PGA(NS)=   0.97,PGA(EW)=   1.00,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.08
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  48.83,BAZ=265.63,PGA(V)=   1.70,PGA(NS)=   1.97,PGA(EW)=   1.42,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.09
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  49.47,BAZ= 26.37,PGA(V)=   1.11,PGA(NS)=   1.71,PGA(EW)=   1.55,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.08
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  50.58,BAZ=348.87,PGA(V)=   1.32,PGA(NS)=   2.03,PGA(EW)=   2.36,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.10
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  50.83,BAZ=194.84,PGA(V)=   1.36,PGA(NS)=   2.80,PGA(EW)=   4.38,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.63,PGV(SUM)=   0.17
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  52.47,BAZ=141.18,PGA(V)=   1.46,PGA(NS)=   2.60,PGA(EW)=   3.32,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.56,PGV(SUM)=   0.14
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist=  53.08,BAZ=  5.92,PGA(V)=   0.94,PGA(NS)=   1.23,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.10
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  55.89,BAZ=228.59,PGA(V)=   1.23,PGA(NS)=   2.33,PGA(EW)=   2.11,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.13,PGV(SUM)=   0.08
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  58.83,BAZ=182.07,PGA(V)=   1.12,PGA(NS)=   2.76,PGA(EW)=   2.55,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.08
