Origin Time:2021/01/28 15:29:31
Lon:120.98¢XE
Lat:22.54¢XN
Depth:9.1km
Mag:5.1
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  66.05,AZ=201.68,PGA(V)=   1.37,PGA(NS)=   2.04,PGA(EW)=   2.49,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.93,PGV(SUM)=   0.18
Stacode=WLC ,Staname=¤p¯[²y,Stalon=120.37,Stalat=22.35,Dist=  66.59,AZ= 71.16,PGA(V)=   0.39,PGA(NS)=   0.65,PGA(EW)=   0.78,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.12
Stacode=KAU ,Staname=°ª¶¯¥«,Stalon=120.32,Stalat=22.57,Dist=  68.51,AZ= 92.34,PGA(V)=   1.30,PGA(NS)=   1.95,PGA(EW)=   2.50,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.28,Int= 1¯Å,PGA(SUM)=   2.45,PGV(SUM)=   0.36
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  70.46,AZ=109.49,PGA(V)=   0.94,PGA(NS)=   1.06,PGA(EW)=   1.04,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.14
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  71.14,AZ=198.90,PGA(V)=   0.81,PGA(NS)=   1.92,PGA(EW)=   1.18,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.06,PGV(SUM)=   0.07
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  71.69,AZ=183.57,PGA(V)=   1.11,PGA(NS)=   1.23,PGA(EW)=   1.18,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.43,PGV(SUM)=   0.06
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist=  72.06,AZ= 10.41,PGA(V)=   0.36,PGA(NS)=   0.75,PGA(EW)=   0.61,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.07
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  73.60,AZ=213.09,PGA(V)=   0.48,PGA(NS)=   0.97,PGA(EW)=   1.02,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.08
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  73.63,AZ=163.78,PGA(V)=   0.51,PGA(NS)=   0.94,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.06
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  79.56,AZ=203.76,PGA(V)=   0.90,PGA(NS)=   1.47,PGA(EW)=   2.87,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.90,PGV(SUM)=   0.17
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  84.03,AZ=129.27,PGA(V)=   0.72,PGA(NS)=   0.90,PGA(EW)=   1.10,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.09
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  85.13,AZ=146.91,PGA(V)=   0.44,PGA(NS)=   1.17,PGA(EW)=   0.67,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.06
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  86.11,AZ=154.66,PGA(V)=   0.35,PGA(NS)=   0.54,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.06
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  94.23,AZ=125.73,PGA(V)=   0.32,PGA(NS)=   0.77,PGA(EW)=   0.74,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.11
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist=  94.96,AZ=121.98,PGA(V)=   0.76,PGA(NS)=   1.14,PGA(EW)=   1.58,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.71,PGV(SUM)=   0.14
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 106.34,AZ=131.20,PGA(V)=   0.44,PGA(NS)=   1.11,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.11
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 106.63,AZ=158.76,PGA(V)=   0.60,PGA(NS)=   1.75,PGA(EW)=   1.84,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.86,PGV(SUM)=   0.14
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 108.50,AZ=170.86,PGA(V)=   1.04,PGA(NS)=   2.49,PGA(EW)=   2.07,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.66,PGV(SUM)=   0.18
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 113.73,AZ=126.14,PGA(V)=   0.32,PGA(NS)=   1.74,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.09
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 118.45,AZ=138.93,PGA(V)=   0.19,PGA(NS)=   0.44,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.07
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 119.82,AZ=151.99,PGA(V)=   0.38,PGA(NS)=   2.29,PGA(EW)=   1.46,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.29,PGV(SUM)=   0.13
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 121.42,AZ=154.66,PGA(V)=   0.82,PGA(NS)=   1.28,PGA(EW)=   1.78,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.16
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 133.44,AZ=161.60,PGA(V)=   0.37,PGA(NS)=   1.17,PGA(EW)=   0.87,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.10
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 137.68,AZ=160.76,PGA(V)=   0.48,PGA(NS)=   0.94,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.10
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 140.76,AZ=154.44,PGA(V)=   0.32,PGA(NS)=   0.81,PGA(EW)=   0.91,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.06
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 143.68,AZ=147.59,PGA(V)=   0.31,PGA(NS)=   1.00,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.10
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist= 148.62,AZ=177.11,PGA(V)=   0.28,PGA(NS)=   0.98,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.10
