Origin Time:2022/07/28 08:16:16
Lon:121.36°E
Lat:22.98°N
Depth:42.3km
Mag:5.4
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  78.30,AZ=250.57,PGA(V)=   3.40,PGA(NS)=   4.34,PGA(EW)=   3.10,PGV(V)=   0.13,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.95,PGV(SUM)=   0.21
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  79.41,AZ=247.53,PGA(V)=   2.05,PGA(NS)=   4.41,PGA(EW)=   1.91,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   4.16,PGV(SUM)=   0.13
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  79.60,AZ=278.07,PGA(V)=   0.91,PGA(NS)=   1.03,PGA(EW)=   1.43,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.08
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  80.97,AZ=316.33,PGA(V)=   2.18,PGA(NS)=   4.83,PGA(EW)=   6.30,PGV(V)=   0.17,PGV(NS)=   0.40,PGV(EW)=   0.49,Int= 2級,PGA(SUM)=   6.45,PGV(SUM)=   0.54
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  81.01,AZ=291.18,PGA(V)=   3.43,PGA(NS)=   3.40,PGA(EW)=   3.70,PGV(V)=   0.14,PGV(NS)=   0.22,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.07,PGV(SUM)=   0.23
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  82.91,AZ= 13.38,PGA(V)=   2.05,PGA(NS)=   3.32,PGA(EW)=   2.89,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.37,PGV(SUM)=   0.14
Stacode=EAS ,Staname=達仁  ,Stalon=120.86,Stalat=22.38,Dist=  83.98,AZ=218.02,PGA(V)=   2.44,PGA(NS)=   5.24,PGA(EW)=   4.51,PGV(V)=   0.13,PGV(NS)=   0.23,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   6.56,PGV(SUM)=   0.28
Stacode=TAWH,Staname=大武  ,Stalon=120.89,Stalat=22.34,Dist=  85.86,AZ=214.40,PGA(V)=   2.83,PGA(NS)=   7.54,PGA(EW)=   7.42,PGV(V)=   0.11,PGV(NS)=   0.24,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   7.15,PGV(SUM)=   0.24
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist=  88.15,AZ=284.96,PGA(V)=   1.36,PGA(NS)=   2.02,PGA(EW)=   1.59,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.20,PGV(SUM)=   0.12
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  89.42,AZ=263.32,PGA(V)=   2.20,PGA(NS)=   4.36,PGA(EW)=   3.07,PGV(V)=   0.10,PGV(NS)=   0.30,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.70,PGV(SUM)=   0.32
