Origin Time:2024/02/02 18:10:27
Lon:120.28°E
Lat:23.46°N
Depth:16.0km
Mag:4.7
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  46.54,BAZ=  5.90,PGA(V)=   0.49,PGA(NS)=   0.85,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.05
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  48.59,BAZ=352.19,PGA(V)=   0.53,PGA(NS)=   1.47,PGA(EW)=   1.40,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.07
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist=  50.40,BAZ=191.06,PGA(V)=   7.24,PGA(NS)=  11.42,PGA(EW)=   7.65,PGV(V)=   0.12,PGV(NS)=   0.27,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   7.46,PGV(SUM)=   0.28
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  54.45,BAZ=263.88,PGA(V)=   0.88,PGA(NS)=   1.54,PGA(EW)=   1.54,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.08
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  59.42,BAZ=301.05,PGA(V)=   0.72,PGA(NS)=   2.87,PGA(EW)=   1.80,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.06
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  60.82,BAZ=228.22,PGA(V)=   0.70,PGA(NS)=   1.42,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.05
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  62.54,BAZ=221.86,PGA(V)=   0.84,PGA(NS)=   2.61,PGA(EW)=   3.33,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.40,PGV(SUM)=   0.08
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  63.53,BAZ=208.42,PGA(V)=   2.03,PGA(NS)=   3.25,PGA(EW)=   3.28,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.02,PGV(SUM)=   0.09
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  63.96,BAZ=245.43,PGA(V)=   0.78,PGA(NS)=   1.95,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.08
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  64.30,BAZ=219.01,PGA(V)=   2.08,PGA(NS)=   1.33,PGA(EW)=   1.87,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.07
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  66.75,BAZ=341.17,PGA(V)=   0.66,PGA(NS)=   1.12,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.07
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  69.15,BAZ=267.13,PGA(V)=   0.48,PGA(NS)=   1.42,PGA(EW)=   1.28,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.08
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist=  74.49,BAZ= 99.35,PGA(V)=   2.63,PGA(NS)=   3.92,PGA(EW)=   2.34,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   2.36,PGV(SUM)=   0.06
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  74.52,BAZ=202.08,PGA(V)=   3.27,PGA(NS)=   9.88,PGA(EW)=  10.62,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   7.59,PGV(SUM)=   0.19
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  77.78,BAZ=230.26,PGA(V)=   0.31,PGA(NS)=   0.49,PGA(EW)=   0.81,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  79.25,BAZ=233.53,PGA(V)=   0.40,PGA(NS)=   0.62,PGA(EW)=   0.97,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.05
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  86.61,BAZ=208.13,PGA(V)=   0.76,PGA(NS)=   1.46,PGA(EW)=   1.23,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.05
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  92.29,BAZ=228.11,PGA(V)=   0.59,PGA(NS)=   0.48,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.03
