Origin Time:2020/02/25 19:14:02
Lon:121.41¢XE
Lat:24.39¢XN
Depth:5.1km
Mag:5.3
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=   5.67,AZ=153.71,PGA(V)=  97.67,PGA(NS)= 423.33,PGA(EW)= 364.26,PGV(V)=   2.20,PGV(NS)=  16.26,PGV(EW)=  16.63,Int= 5®z,PGA(SUM)= 411.98,PGV(SUM)=  18.75
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist=  48.61,AZ=151.34,PGA(V)=   6.12,PGA(NS)=  14.71,PGA(EW)=  11.88,PGV(V)=   0.22,PGV(NS)=   0.56,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  15.81,PGV(SUM)=   0.58
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  49.92,AZ=139.81,PGA(V)=   7.29,PGA(NS)=  18.10,PGA(EW)=  16.64,PGV(V)=   0.22,PGV(NS)=   0.49,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  21.22,PGV(SUM)=   0.62
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  50.70,AZ=335.45,PGA(V)=   1.95,PGA(NS)=   4.61,PGA(EW)=   4.85,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.98,PGV(SUM)=   0.23
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  51.83,AZ=242.42,PGA(V)=   1.54,PGA(NS)=   2.57,PGA(EW)=   1.89,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.21,PGV(SUM)=   0.09
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  54.39,AZ=220.69,PGA(V)=   1.55,PGA(NS)=   2.34,PGA(EW)=   2.71,PGV(V)=   0.13,PGV(NS)=   0.24,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   2.79,PGV(SUM)=   0.33
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  57.58,AZ=339.78,PGA(V)=   1.27,PGA(NS)=   2.49,PGA(EW)=   2.69,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.14
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist=  58.12,AZ=137.44,PGA(V)=   1.43,PGA(NS)=   1.79,PGA(EW)=   1.95,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.20
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.95,Stalat=24.01,Dist=  62.47,AZ= 47.99,PGA(V)=   2.33,PGA(NS)=   1.33,PGA(EW)=   1.39,PGV(V)=   0.10,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.47,PGV(SUM)=   0.14
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist=  62.56,AZ=140.64,PGA(V)=   1.15,PGA(NS)=   1.95,PGA(EW)=   1.97,PGV(V)=   0.15,PGV(NS)=   0.12,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.19
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist=  63.20,AZ=120.79,PGA(V)=   0.76,PGA(NS)=   3.51,PGA(EW)=   2.97,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.68,PGV(SUM)=   0.21
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  64.27,AZ=356.80,PGA(V)=   1.34,PGA(NS)=   4.56,PGA(EW)=   4.67,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.75,PGV(SUM)=   0.10
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.77,Stalat=24.35,Dist=  64.40,AZ= 85.56,PGA(V)=   2.36,PGA(NS)=   2.16,PGA(EW)=   2.30,PGV(V)=   0.16,PGV(NS)=   0.22,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.26,PGV(SUM)=   0.23
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist=  64.61,AZ= 92.24,PGA(V)=   1.01,PGA(NS)=   2.21,PGA(EW)=   1.06,PGV(V)=   0.12,PGV(NS)=   0.24,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.24
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  66.84,AZ=219.91,PGA(V)=   1.35,PGA(NS)=   1.51,PGA(EW)=   1.93,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.20
Stacode=BAC ,Staname=·s¥_¥«,Stalon=121.44,Stalat=25.00,Dist=  67.22,AZ=183.08,PGA(V)=   1.23,PGA(NS)=   2.90,PGA(EW)=   2.03,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   2.89,PGV(SUM)=   0.21
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist=  67.28,AZ=161.43,PGA(V)=   0.65,PGA(NS)=   0.98,PGA(EW)=   0.64,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.11
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist=  68.26,AZ=170.74,PGA(V)=   1.13,PGA(NS)=   1.52,PGA(EW)=   1.89,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.09
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist=  72.40,AZ=188.65,PGA(V)=   0.47,PGA(NS)=   1.16,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.16
Stacode=NHY ,Staname=«H¸q°Ï,Stalon=121.57,Stalat=25.04,Dist=  73.63,AZ=192.95,PGA(V)=   1.78,PGA(NS)=   1.48,PGA(EW)=   1.48,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.86,PGV(SUM)=   0.16
