Origin Time:2023/06/10 17:12:33
Lon:120.64°E
Lat:22.87°N
Depth:16.0km
Mag:5.0
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  46.80,BAZ=128.74,PGA(V)=   1.71,PGA(NS)=   2.96,PGA(EW)=   2.59,PGV(V)=   0.10,PGV(NS)=   0.23,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.91,PGV(SUM)=   0.24
Stacode=WSS ,Staname=壽山  ,Stalon=120.26,Stalat=22.64,Dist=  46.81,BAZ= 57.04,PGA(V)=   1.08,PGA(NS)=   1.78,PGA(EW)=   1.87,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.23,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.23
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist=  47.05,BAZ=106.62,PGA(V)=   2.80,PGA(NS)=   2.98,PGA(EW)=   2.98,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.46,PGV(SUM)=   0.15
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  49.96,BAZ=265.60,PGA(V)=   1.60,PGA(NS)=   2.49,PGA(EW)=   3.00,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.89,PGV(SUM)=   0.17
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  52.37,BAZ=228.17,PGA(V)=   1.27,PGA(NS)=   1.83,PGA(EW)=   1.60,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.09
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  54.05,BAZ=284.17,PGA(V)=   1.86,PGA(NS)=   1.39,PGA(EW)=   1.55,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.24
Stacode=SCZ ,Staname=春日  ,Stalon=120.63,Stalat=22.37,Dist=  55.54,BAZ=  1.71,PGA(V)=   0.57,PGA(NS)=   1.44,PGA(EW)=   1.14,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.09
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=  56.39,BAZ=126.46,PGA(V)=   3.35,PGA(NS)=   6.81,PGA(EW)=   3.80,PGV(V)=   0.09,PGV(NS)=   0.29,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   6.39,PGV(SUM)=   0.31
Stacode=EAS ,Staname=達仁  ,Stalon=120.86,Stalat=22.38,Dist=  58.44,BAZ=338.10,PGA(V)=   1.21,PGA(NS)=   2.30,PGA(EW)=   4.03,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   4.10,PGV(SUM)=   0.20
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  62.91,BAZ=176.30,PGA(V)=   1.52,PGA(NS)=   6.67,PGA(EW)=   2.76,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   6.28,PGV(SUM)=   0.20
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  63.92,BAZ=247.22,PGA(V)=   1.50,PGA(NS)=   1.91,PGA(EW)=   1.90,PGV(V)=   0.12,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.15,PGV(SUM)=   0.14
