Origin Time:2022/03/23 01:06:55
Lon:121.36¢XE
Lat:22.03¢XN
Depth:26.0km
Mag:5.5
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist= 117.90,AZ=311.01,PGA(V)=   0.41,PGA(NS)=   1.63,PGA(EW)=   1.52,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.19
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 118.80,AZ=  0.52,PGA(V)=   1.44,PGA(NS)=   2.05,PGA(EW)=   3.30,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.09,PGV(SUM)=   0.15
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 119.43,AZ=352.91,PGA(V)=   0.96,PGA(NS)=   1.74,PGA(EW)=   1.39,PGV(V)=   0.10,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.85,PGV(SUM)=   0.16
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 125.48,AZ=352.64,PGA(V)=   0.73,PGA(NS)=   1.47,PGA(EW)=   1.39,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.09
Stacode=KAU1,Staname=°ª¶¯¥«,Stalon=120.31,Stalat=22.59,Dist= 125.64,AZ=300.08,PGA(V)=   0.50,PGA(NS)=   0.68,PGA(EW)=   0.58,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.11
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist= 130.10,AZ=325.51,PGA(V)=   0.44,PGA(NS)=   1.06,PGA(EW)=   0.87,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.08
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 130.15,AZ=356.89,PGA(V)=   0.52,PGA(NS)=   1.45,PGA(EW)=   1.87,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.06,PGV(SUM)=   0.11
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 130.66,AZ=316.83,PGA(V)=   1.17,PGA(NS)=   2.96,PGA(EW)=   2.24,PGV(V)=   0.08,PGV(NS)=   0.24,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.43,PGV(SUM)=   0.29
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 133.01,AZ=307.32,PGA(V)=   0.68,PGA(NS)=   0.90,PGA(EW)=   1.10,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.14
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist= 133.28,AZ=344.91,PGA(V)=   0.72,PGA(NS)=   0.85,PGA(EW)=   0.91,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.04
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 141.12,AZ=334.94,PGA(V)=   0.46,PGA(NS)=   0.74,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.06
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist= 141.27,AZ=325.82,PGA(V)=   0.66,PGA(NS)=   0.98,PGA(EW)=   1.04,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.11
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist= 143.28,AZ=  3.65,PGA(V)=   0.67,PGA(NS)=   1.18,PGA(EW)=   1.11,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.18
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist= 146.48,AZ=358.26,PGA(V)=   0.35,PGA(NS)=   0.77,PGA(EW)=   0.61,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.08
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 151.86,AZ=316.59,PGA(V)=   0.86,PGA(NS)=   1.27,PGA(EW)=   1.20,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.12
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist= 154.44,AZ=326.28,PGA(V)=   0.58,PGA(NS)=   1.12,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.08
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 154.93,AZ=330.59,PGA(V)=   0.80,PGA(NS)=   1.24,PGA(EW)=   1.42,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.14
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist= 160.99,AZ=311.86,PGA(V)=   0.44,PGA(NS)=   1.21,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.11
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 161.23,AZ=314.08,PGA(V)=   0.33,PGA(NS)=   0.78,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.12
