Origin Time:2022/12/14 22:32:29
Lon:121.34¢XE
Lat:23.57¢XN
Depth:15.2km
Mag:4.6
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  63.42,BAZ=173.95,PGA(V)=   0.93,PGA(NS)=   2.04,PGA(EW)=   3.16,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.81,PGV(SUM)=   0.18
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  66.70,BAZ=  3.00,PGA(V)=   0.59,PGA(NS)=   1.29,PGA(EW)=   1.20,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.06
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  70.95,BAZ=204.12,PGA(V)=   0.51,PGA(NS)=   1.68,PGA(EW)=   1.56,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.04
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  71.59,BAZ=191.78,PGA(V)=   1.09,PGA(NS)=   1.76,PGA(EW)=   2.21,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.06
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  71.79,BAZ= 52.49,PGA(V)=   0.52,PGA(NS)=   1.32,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.05
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  75.22,BAZ=172.66,PGA(V)=   0.39,PGA(NS)=   1.04,PGA(EW)=   1.56,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.06
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  76.39,BAZ= 78.68,PGA(V)=   0.44,PGA(NS)=   1.25,PGA(EW)=   1.22,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.13
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  76.95,BAZ= 16.08,PGA(V)=   0.88,PGA(NS)=   1.59,PGA(EW)=   1.29,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.76,PGV(SUM)=   0.07
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  79.29,BAZ= 98.87,PGA(V)=   0.42,PGA(NS)=   1.06,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.08
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  81.79,BAZ= 63.44,PGA(V)=   0.31,PGA(NS)=   1.01,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.07
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  88.30,BAZ= 86.97,PGA(V)=   0.54,PGA(NS)=   0.99,PGA(EW)=   0.74,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.08
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  92.87,BAZ= 84.68,PGA(V)=   0.28,PGA(NS)=   2.26,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.22,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.44,PGV(SUM)=   0.22
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  97.19,BAZ=125.16,PGA(V)=   0.44,PGA(NS)=   0.84,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.04
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 115.24,BAZ= 48.57,PGA(V)=   0.59,PGA(NS)=   0.93,PGA(EW)=   0.50,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.07
