Origin Time:2019/04/03 09:52:55
Lon:120.85°E
Lat:22.95°N
Depth:4.1km
Mag:5.9
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  70.30,AZ=296.02,PGA(V)=   1.91,PGA(NS)=   2.52,PGA(EW)=   1.79
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=  71.18,AZ=110.17,PGA(V)=   2.24,PGA(NS)=  12.95,PGA(EW)=   8.20
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  73.29,AZ=236.58,PGA(V)=   2.03,PGA(NS)=   3.38,PGA(EW)=   3.62
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  73.72,AZ=165.84,PGA(V)=   3.46,PGA(NS)=  10.23,PGA(EW)=  11.49
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  74.13,AZ=144.43,PGA(V)=   4.33,PGA(NS)=  21.71,PGA(EW)=   8.85
Stacode=ICHU,Staname=義竹  ,Stalon=120.28,Stalat=23.36,Dist=  74.23,AZ=127.58,PGA(V)=   2.43,PGA(NS)=   6.61,PGA(EW)=   7.42
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  75.06,AZ=148.85,PGA(V)=   5.45,PGA(NS)=  14.84,PGA(EW)=   6.92
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  78.17,AZ=218.55,PGA(V)=   1.18,PGA(NS)=   2.11,PGA(EW)=   2.33
Stacode=SLIU,Staname=獅子  ,Stalon=120.80,Stalat=22.22,Dist=  81.66,AZ=  3.96,PGA(V)=   2.21,PGA(NS)=   5.87,PGA(EW)=   2.79
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  82.42,AZ=179.96,PGA(V)=   2.04,PGA(NS)=   2.74,PGA(EW)=   3.62
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  86.15,AZ=160.33,PGA(V)=   2.76,PGA(NS)=   9.25,PGA(EW)=   8.22
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  89.99,AZ=134.62,PGA(V)=   1.50,PGA(NS)=   6.21,PGA(EW)=   5.76
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  90.43,AZ=159.12,PGA(V)=   4.52,PGA(NS)=  19.72,PGA(EW)=  18.21
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  94.36,AZ=149.72,PGA(V)=   2.49,PGA(NS)=   6.88,PGA(EW)=   7.23
