Origin Time:2023/02/07 04:20:17
Lon:121.76°E
Lat:24.27°N
Depth:22.1km
Mag:5.1
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  54.40,BAZ=179.61,PGA(V)=   1.01,PGA(NS)=   2.33,PGA(EW)=   3.48,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   3.47,PGV(SUM)=   0.26
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  57.36,BAZ= 20.48,PGA(V)=   2.37,PGA(NS)=   5.01,PGA(EW)=   6.48,PGV(V)=   0.13,PGV(NS)=   0.42,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   6.90,PGV(SUM)=   0.47
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  59.69,BAZ=138.08,PGA(V)=   1.18,PGA(NS)=   2.21,PGA(EW)=   2.72,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.87,PGV(SUM)=   0.16
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  60.43,BAZ= 32.40,PGA(V)=   1.61,PGA(NS)=   3.48,PGA(EW)=   3.91,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.99,PGV(SUM)=   0.12
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  60.79,BAZ= 87.58,PGA(V)=   3.44,PGA(NS)=   9.70,PGA(EW)=   5.42,PGV(V)=   0.18,PGV(NS)=   0.69,PGV(EW)=   0.34,Int= 3級,PGA(SUM)=  10.36,PGV(SUM)=   0.77
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  64.73,BAZ=186.31,PGA(V)=   1.09,PGA(NS)=   2.20,PGA(EW)=   1.90,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.21
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  66.19,BAZ= 19.06,PGA(V)=   2.51,PGA(NS)=   7.36,PGA(EW)=   5.32,PGV(V)=   0.10,PGV(NS)=   0.36,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   7.70,PGV(SUM)=   0.38
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  69.05,BAZ= 59.32,PGA(V)=   2.01,PGA(NS)=   3.07,PGA(EW)=   2.51,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.17
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  74.94,BAZ= 26.84,PGA(V)=   1.51,PGA(NS)=   2.31,PGA(EW)=   2.29,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.41,PGV(SUM)=   0.11
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  76.30,BAZ=121.43,PGA(V)=   0.79,PGA(NS)=   1.01,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.09
