Origin Time:2023/01/12 13:15:52
Lon:120.66E
Lat:22.83N
Depth:19.6km
Mag:4.4
Stacode=TAWH,Staname=猌  ,Stalon=120.89,Stalat=22.34,Dist=  59.58,BAZ=336.85,PGA(V)=   1.14,PGA(NS)=   0.56,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.01,PGV(EW)=   0.02,Int= 1,PGA(SUM)=   1.13,PGV(SUM)=   0.03
Stacode=SCL ,Staname=ㄎń  ,Stalon=120.20,Stalat=23.17,Dist=  60.15,BAZ=128.62,PGA(V)=   2.28,PGA(NS)=   2.89,PGA(EW)=   2.73,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 2,PGA(SUM)=   3.02,PGV(SUM)=   0.09
Stacode=WCKO,Staname=礷隔  ,Stalon=120.60,Stalat=23.44,Dist=  67.14,BAZ=175.15,PGA(V)=   0.82,PGA(NS)=   2.40,PGA(EW)=   3.07,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 2,PGA(SUM)=   3.68,PGV(SUM)=   0.13
Stacode=SCK ,Staname=  ,Stalon=120.09,Stalat=23.15,Dist=  68.22,BAZ=120.45,PGA(V)=   1.97,PGA(NS)=   4.50,PGA(EW)=   3.28,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 2,PGA(SUM)=   3.62,PGV(SUM)=   0.10
Stacode=CHN8,Staname=竡λ  ,Stalon=120.22,Stalat=23.35,Dist=  72.34,BAZ=141.72,PGA(V)=   0.76,PGA(NS)=   1.11,PGA(EW)=   1.15,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1,PGA(SUM)=   1.04,PGV(SUM)=   0.04
Stacode=ALS ,Staname=ń,Stalon=120.81,Stalat=23.51,Dist=  76.26,BAZ=191.87,PGA(V)=   0.23,PGA(NS)=   0.96,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=CHY ,Staname=古竡カ,Stalon=120.43,Stalat=23.50,Dist=  76.91,BAZ=162.36,PGA(V)=   0.75,PGA(NS)=   1.66,PGA(EW)=   1.97,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1,PGA(SUM)=   1.99,PGV(SUM)=   0.10
Stacode=CHY1,Staname=び玂カ,Stalon=120.29,Stalat=23.46,Dist=  78.48,BAZ=151.45,PGA(V)=   1.31,PGA(NS)=   1.66,PGA(EW)=   1.73,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   1.86,PGV(SUM)=   0.07
Stacode=CHN2,Staname=チ动  ,Stalon=120.47,Stalat=23.53,Dist=  79.54,BAZ=166.17,PGA(V)=   0.85,PGA(NS)=   2.28,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1,PGA(SUM)=   1.82,PGV(SUM)=   0.07
Stacode=CHN5,Staname=拉  ,Stalon=120.68,Stalat=23.60,Dist=  84.48,BAZ=181.16,PGA(V)=   0.39,PGA(NS)=   1.00,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   1.14,PGV(SUM)=   0.07
Stacode=WSL ,Staname=狶  ,Stalon=120.23,Stalat=23.52,Dist=  88.13,BAZ=149.86,PGA(V)=   0.43,PGA(NS)=   0.87,PGA(EW)=   1.01,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1,PGA(SUM)=   0.83,PGV(SUM)=   0.03
Stacode=WTK ,Staname=畐  ,Stalon=120.39,Stalat=23.69,Dist=  98.48,BAZ=163.61,PGA(V)=   0.69,PGA(NS)=   1.54,PGA(EW)=   1.21,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   1.38,PGV(SUM)=   0.07
Stacode=WSF ,Staname=打  ,Stalon=120.23,Stalat=23.64,Dist=  99.12,BAZ=153.62,PGA(V)=   1.06,PGA(NS)=   1.64,PGA(EW)=   1.81,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1,PGA(SUM)=   1.70,PGV(SUM)=   0.08
