Origin Time:2024/04/03 23:39:10
Lon:121.68°E
Lat:24.16°N
Depth:19.4km
Mag:5.1
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  53.49,BAZ=168.35,PGA(V)=   1.30,PGA(NS)=   5.27,PGA(EW)=   5.00,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.68,PGV(SUM)=   0.20
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  60.65,BAZ= 25.09,PGA(V)=   2.14,PGA(NS)=   2.62,PGA(EW)=   4.68,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.02,PGV(SUM)=   0.19
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  61.28,BAZ=180.26,PGA(V)=   0.46,PGA(NS)=   0.72,PGA(EW)=   1.28,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.11
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  64.71,BAZ=150.57,PGA(V)=   0.66,PGA(NS)=   1.15,PGA(EW)=   1.82,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.12
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  66.79,BAZ=186.64,PGA(V)=   0.59,PGA(NS)=   0.93,PGA(EW)=   0.84,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.11
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  75.41,BAZ= 77.06,PGA(V)=   0.61,PGA(NS)=   0.80,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.06
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  75.63,BAZ= 99.51,PGA(V)=   0.54,PGA(NS)=   1.16,PGA(EW)=   0.91,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.10
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  77.78,BAZ=191.27,PGA(V)=   0.56,PGA(NS)=   0.82,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.07
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  81.44,BAZ= 25.98,PGA(V)=   0.50,PGA(NS)=   1.08,PGA(EW)=   0.84,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.05
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  84.57,BAZ= 68.20,PGA(V)=   0.48,PGA(NS)=   1.24,PGA(EW)=   1.48,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.13
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  84.96,BAZ=142.96,PGA(V)=   0.53,PGA(NS)=   0.95,PGA(EW)=   0.90,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.08
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist=  85.36,BAZ=127.09,PGA(V)=   0.45,PGA(NS)=   0.89,PGA(EW)=   1.25,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.13
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  85.92,BAZ=128.41,PGA(V)=   0.57,PGA(NS)=   0.91,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.07
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  87.19,BAZ=136.49,PGA(V)=   0.75,PGA(NS)=   1.35,PGA(EW)=   1.07,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.12
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist=  89.11,BAZ=153.40,PGA(V)=   0.44,PGA(NS)=   0.66,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.05
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  89.42,BAZ=169.88,PGA(V)=   0.49,PGA(NS)=   0.91,PGA(EW)=   0.73,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  93.50,BAZ=102.43,PGA(V)=   1.39,PGA(NS)=   1.71,PGA(EW)=   2.09,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.68,PGV(SUM)=   0.19
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  96.47,BAZ=106.65,PGA(V)=   0.75,PGA(NS)=   1.21,PGA(EW)=   1.35,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.18
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  96.82,BAZ= 13.95,PGA(V)=   0.50,PGA(NS)=   1.03,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.07
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist=  96.89,BAZ=167.60,PGA(V)=   0.68,PGA(NS)=   0.86,PGA(EW)=   0.63,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.09
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist=  97.35,BAZ=117.08,PGA(V)=   0.39,PGA(NS)=   0.55,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.06
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  98.90,BAZ= 58.34,PGA(V)=   0.40,PGA(NS)=   0.94,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.05
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  99.78,BAZ=137.43,PGA(V)=   0.53,PGA(NS)=   1.22,PGA(EW)=   1.00,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.10
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 100.23,BAZ=124.98,PGA(V)=   0.48,PGA(NS)=   1.10,PGA(EW)=   0.94,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.26,PGV(SUM)=   0.12
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 100.26,BAZ=157.27,PGA(V)=   0.61,PGA(NS)=   0.98,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.07
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 100.62,BAZ= 82.23,PGA(V)=   0.77,PGA(NS)=   2.75,PGA(EW)=   2.15,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.87,PGV(SUM)=   0.20
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 100.95,BAZ=185.83,PGA(V)=   0.40,PGA(NS)=   0.84,PGA(EW)=   0.57,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.07
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 101.06,BAZ=177.71,PGA(V)=   0.39,PGA(NS)=   0.94,PGA(EW)=   1.11,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.05
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 101.24,BAZ= 88.79,PGA(V)=   0.72,PGA(NS)=   1.70,PGA(EW)=   1.88,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.14
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 101.95,BAZ=150.65,PGA(V)=   0.36,PGA(NS)=   0.69,PGA(EW)=   0.54,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.11
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 104.07,BAZ= 68.59,PGA(V)=   0.46,PGA(NS)=   1.18,PGA(EW)=   0.62,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.07
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist= 104.99,BAZ= 44.38,PGA(V)=   0.38,PGA(NS)=   1.31,PGA(EW)=   1.28,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.08
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 105.42,BAZ= 72.37,PGA(V)=   0.37,PGA(NS)=   0.83,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.05
