Origin Time:2024/04/22 19:25:13
Lon:121.51°E
Lat:23.73°N
Depth:2.6km
Mag:4.9
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  75.78,BAZ= 23.01,PGA(V)=   0.58,PGA(NS)=   1.11,PGA(EW)=   1.08,PGV(V)=   0.14,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.16
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  79.96,BAZ=170.66,PGA(V)=   0.33,PGA(NS)=   0.66,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.05
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  81.37,BAZ=197.45,PGA(V)=   0.37,PGA(NS)=   0.78,PGA(EW)=   0.59,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.03
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  85.93,BAZ= 14.12,PGA(V)=   0.61,PGA(NS)=   1.68,PGA(EW)=   1.27,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.11
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  86.05,BAZ= 80.53,PGA(V)=   0.37,PGA(NS)=   0.91,PGA(EW)=   1.09,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.11
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  95.82,BAZ= 87.31,PGA(V)=   0.41,PGA(NS)=   0.76,PGA(EW)=   0.93,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.14
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  97.59,BAZ= 71.03,PGA(V)=   0.53,PGA(NS)=   0.97,PGA(EW)=   0.74,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.08
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  98.17,BAZ=105.41,PGA(V)=   0.42,PGA(NS)=   0.72,PGA(EW)=   0.89,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.10
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  98.96,BAZ= 89.35,PGA(V)=   0.45,PGA(NS)=   0.97,PGA(EW)=   1.02,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.13
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 104.47,BAZ=112.08,PGA(V)=   0.43,PGA(NS)=   0.79,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.06
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 107.70,BAZ= 78.55,PGA(V)=   0.66,PGA(NS)=   0.92,PGA(EW)=   0.88,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.11
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 112.73,BAZ= 77.02,PGA(V)=   0.26,PGA(NS)=   1.44,PGA(EW)=   1.52,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.13
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 116.29,BAZ=120.42,PGA(V)=   0.84,PGA(NS)=   0.99,PGA(EW)=   0.50,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.11
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 116.89,BAZ= 99.69,PGA(V)=   0.47,PGA(NS)=   0.66,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.10
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 119.12,BAZ= 69.74,PGA(V)=   0.57,PGA(NS)=   0.89,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.12
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 125.22,BAZ= 96.94,PGA(V)=   0.28,PGA(NS)=   0.86,PGA(EW)=   0.44,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.07
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 127.51,BAZ= 76.54,PGA(V)=   0.32,PGA(NS)=   0.85,PGA(EW)=   0.64,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.14
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 132.63,BAZ= 80.27,PGA(V)=   0.24,PGA(NS)=   0.71,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.09
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 137.83,BAZ= 72.33,PGA(V)=   0.20,PGA(NS)=   0.75,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.10
