Origin Time:2024/04/03 10:23:25
Lon:121.66°E
Lat:24.15°N
Depth:18.1km
Mag:5.0
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  65.15,BAZ=153.27,PGA(V)=   0.47,PGA(NS)=   0.95,PGA(EW)=   1.22,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.09
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  68.93,BAZ=188.53,PGA(V)=   0.42,PGA(NS)=   0.92,PGA(EW)=   0.89,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.10
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  72.57,BAZ= 78.03,PGA(V)=   0.93,PGA(NS)=   1.20,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.07
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  73.50,BAZ=101.24,PGA(V)=   0.81,PGA(NS)=   1.26,PGA(EW)=   1.31,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.12
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  78.71,BAZ= 24.92,PGA(V)=   0.48,PGA(NS)=   0.90,PGA(EW)=   0.98,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.04
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  81.57,BAZ= 68.74,PGA(V)=   0.47,PGA(NS)=   1.08,PGA(EW)=   1.09,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.12
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  84.97,BAZ=145.05,PGA(V)=   0.43,PGA(NS)=   0.77,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.08
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  86.85,BAZ=138.51,PGA(V)=   0.80,PGA(NS)=   1.16,PGA(EW)=   1.07,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.10
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  91.48,BAZ=103.88,PGA(V)=   0.92,PGA(NS)=   1.03,PGA(EW)=   0.87,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.09
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  94.63,BAZ=108.14,PGA(V)=   0.36,PGA(NS)=   0.93,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.08
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  95.81,BAZ= 58.48,PGA(V)=   0.27,PGA(NS)=   0.74,PGA(EW)=   0.66,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.04
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  97.90,BAZ= 83.09,PGA(V)=   0.75,PGA(NS)=   1.86,PGA(EW)=   1.33,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.12
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist=  98.18,BAZ=169.25,PGA(V)=   0.66,PGA(NS)=   0.79,PGA(EW)=   0.66,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.07
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  98.72,BAZ= 89.82,PGA(V)=   0.39,PGA(NS)=   0.91,PGA(EW)=   0.97,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.08
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  99.28,BAZ=126.67,PGA(V)=   1.16,PGA(NS)=   1.26,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.09
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  99.48,BAZ=139.20,PGA(V)=   0.47,PGA(NS)=   0.83,PGA(EW)=   0.91,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.08
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 101.07,BAZ= 69.04,PGA(V)=   0.27,PGA(NS)=   0.80,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.06
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist= 101.93,BAZ= 44.09,PGA(V)=   0.36,PGA(NS)=   1.07,PGA(EW)=   1.49,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.10
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 102.74,BAZ= 74.93,PGA(V)=   0.70,PGA(NS)=   0.75,PGA(EW)=   0.64,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.06
