Origin Time:2024/04/22 21:13:40
Lon:121.53°E
Lat:23.70°N
Depth:5.9km
Mag:5.4
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   2.11,BAZ=237.31,PGA(V)= 253.27,PGA(NS)= 597.89,PGA(EW)= 537.21,PGV(V)=  13.86,PGV(NS)=  21.91,PGV(EW)=  87.13,Int= 6強,PGA(SUM)= 463.50,PGV(SUM)=  88.02
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 139.01,BAZ= 49.69,PGA(V)=   0.61,PGA(NS)=   1.84,PGA(EW)=   1.13,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.20
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 139.02,BAZ= 73.80,PGA(V)=   0.34,PGA(NS)=   1.32,PGA(EW)=   1.07,PGV(V)=   0.08,PGV(NS)=   0.34,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.35
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 139.79,BAZ=179.79,PGA(V)=   0.40,PGA(NS)=   0.67,PGA(EW)=   1.02,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.08
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 141.33,BAZ= 63.90,PGA(V)=   0.43,PGA(NS)=   1.29,PGA(EW)=   1.45,PGV(V)=   0.09,PGV(NS)=   0.25,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.27
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 142.19,BAZ= 58.22,PGA(V)=   0.54,PGA(NS)=   1.19,PGA(EW)=   1.34,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.17
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 144.87,BAZ=166.09,PGA(V)=   0.88,PGA(NS)=   0.92,PGA(EW)=   0.82,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.18
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 146.15,BAZ=170.71,PGA(V)=   0.56,PGA(NS)=   0.67,PGA(EW)=   0.69,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.11
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 146.50,BAZ=177.80,PGA(V)=   0.50,PGA(NS)=   1.12,PGA(EW)=   1.01,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.17
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 148.44,BAZ=179.36,PGA(V)=   0.34,PGA(NS)=   0.82,PGA(EW)=   0.64,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.15
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist= 150.94,BAZ= 44.38,PGA(V)=   0.23,PGA(NS)=   0.69,PGA(EW)=   0.96,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.16
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 151.07,BAZ= 61.09,PGA(V)=   0.32,PGA(NS)=   0.70,PGA(EW)=   0.64,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.17
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 153.05,BAZ=161.34,PGA(V)=   0.42,PGA(NS)=   0.75,PGA(EW)=   0.89,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.23
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 154.30,BAZ=189.51,PGA(V)=   0.38,PGA(NS)=   1.46,PGA(EW)=   1.15,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.15
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist= 160.90,BAZ= 49.47,PGA(V)=   0.76,PGA(NS)=   0.94,PGA(EW)=   1.01,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.11
