Origin Time:2024/04/22 21:13:40
Lon:121.53°E
Lat:23.70°N
Depth:5.9km
Mag:5.4
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   2.11,BAZ=237.31,PGA(V)= 253.27,PGA(NS)= 597.89,PGA(EW)= 537.21,PGV(V)=  13.86,PGV(NS)=  21.91,PGV(EW)=  87.13,Int= 6強,PGA(SUM)= 463.50,PGV(SUM)=  88.02
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  92.80,BAZ=114.28,PGA(V)=   0.60,PGA(NS)=   1.28,PGA(EW)=   1.10,PGV(V)=   0.15,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.24
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  96.71,BAZ= 25.04,PGA(V)=   0.47,PGA(NS)=   0.96,PGA(EW)=   0.73,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.18
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  97.90,BAZ= 89.15,PGA(V)=   0.81,PGA(NS)=   1.83,PGA(EW)=   2.06,PGV(V)=   0.12,PGV(NS)=   0.32,PGV(EW)=   0.35,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.41
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  98.72,BAZ= 73.12,PGA(V)=   0.93,PGA(NS)=   1.93,PGA(EW)=   2.04,PGV(V)=   0.11,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   2.06,PGV(SUM)=   0.25
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist= 100.25,BAZ=178.99,PGA(V)=   0.46,PGA(NS)=   0.64,PGA(EW)=   0.73,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 101.09,BAZ=106.75,PGA(V)=   1.02,PGA(NS)=   1.93,PGA(EW)=   2.70,PGV(V)=   0.19,PGV(NS)=   0.42,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   3.15,PGV(SUM)=   0.48
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 101.14,BAZ= 91.09,PGA(V)=   0.89,PGA(NS)=   1.80,PGA(EW)=   1.45,PGV(V)=   0.11,PGV(NS)=   0.34,PGV(EW)=   0.25,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.40
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 104.24,BAZ=182.43,PGA(V)=   0.57,PGA(NS)=   1.71,PGA(EW)=   1.02,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.13
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 104.77,BAZ=133.32,PGA(V)=   0.82,PGA(NS)=   1.14,PGA(EW)=   1.00,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.15
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist= 105.44,BAZ=190.36,PGA(V)=   0.88,PGA(NS)=   1.29,PGA(EW)=   1.59,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.16
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 105.47,BAZ= 61.55,PGA(V)=   0.44,PGA(NS)=   0.83,PGA(EW)=   0.73,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.12
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 106.90,BAZ= 95.43,PGA(V)=   0.57,PGA(NS)=   1.28,PGA(EW)=   1.49,PGV(V)=   0.12,PGV(NS)=   0.32,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.34
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 107.64,BAZ=113.15,PGA(V)=   0.92,PGA(NS)=   1.66,PGA(EW)=   2.05,PGV(V)=   0.14,PGV(NS)=   0.32,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   2.20,PGV(SUM)=   0.34
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 109.28,BAZ= 80.34,PGA(V)=   1.01,PGA(NS)=   2.16,PGA(EW)=   1.86,PGV(V)=   0.10,PGV(NS)=   0.27,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.27
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 109.39,BAZ=171.26,PGA(V)=   0.59,PGA(NS)=   0.84,PGA(EW)=   1.22,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.10
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 110.84,BAZ=135.75,PGA(V)=   0.50,PGA(NS)=   1.59,PGA(EW)=   0.59,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.17
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 114.10,BAZ=187.81,PGA(V)=   0.35,PGA(NS)=   0.53,PGA(EW)=   1.30,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.13
