Origin Time:2024/09/07 13:16:50
Lon:121.69¢XE
Lat:23.96¢XN
Depth:29.5km
Mag:5.3
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  62.89,BAZ=120.99,PGA(V)=   1.44,PGA(NS)=   4.30,PGA(EW)=   2.45,PGV(V)=   0.06,PGV(NS)=   0.26,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.28,PGV(SUM)=   0.26
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  73.76,BAZ=165.71,PGA(V)=   0.72,PGA(NS)=   1.42,PGA(EW)=   1.46,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.10
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  74.09,BAZ=193.29,PGA(V)=   1.30,PGA(NS)=   1.64,PGA(EW)=   2.71,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.74,PGV(SUM)=   0.12
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  75.01,BAZ=181.91,PGA(V)=   2.47,PGA(NS)=   2.86,PGA(EW)=   3.87,PGV(V)=   0.12,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   4.10,PGV(SUM)=   0.23
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  75.02,BAZ= 94.68,PGA(V)=   0.84,PGA(NS)=   0.72,PGA(EW)=   0.69,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.05
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  75.10,BAZ= 19.11,PGA(V)=   2.63,PGA(NS)=   4.81,PGA(EW)=   7.51,PGV(V)=   0.14,PGV(NS)=   0.23,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   7.05,PGV(SUM)=   0.28
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  80.16,BAZ= 97.90,PGA(V)=   0.63,PGA(NS)=   1.27,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.05
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  80.25,BAZ= 83.99,PGA(V)=   1.00,PGA(NS)=   1.38,PGA(EW)=   2.11,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.22,Int= 1¯Å,PGA(SUM)=   2.28,PGV(SUM)=   0.25
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  83.76,BAZ=115.08,PGA(V)=   0.55,PGA(NS)=   0.87,PGA(EW)=   0.82,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.07
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  84.29,BAZ=179.36,PGA(V)=   0.75,PGA(NS)=   1.75,PGA(EW)=   2.11,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.21,PGV(SUM)=   0.14
