Origin Time:2024/04/23 20:40:52
Lon:121.58°E
Lat:23.78°N
Depth:7.7km
Mag:4.7
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  73.16,BAZ=193.59,PGA(V)=   0.51,PGA(NS)=   0.81,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.06
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  75.15,BAZ=164.42,PGA(V)=   0.47,PGA(NS)=   0.95,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.07
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  75.96,BAZ=195.40,PGA(V)=   0.54,PGA(NS)=   1.16,PGA(EW)=   1.26,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.10
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  78.86,BAZ= 15.54,PGA(V)=   0.66,PGA(NS)=   1.44,PGA(EW)=   2.13,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.15
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  84.70,BAZ= 25.79,PGA(V)=   0.52,PGA(NS)=   0.91,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.08
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  86.91,BAZ= 92.78,PGA(V)=   0.26,PGA(NS)=   0.79,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.09
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  94.08,BAZ=107.69,PGA(V)=   0.40,PGA(NS)=   0.63,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.06
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  94.17,BAZ= 17.42,PGA(V)=   0.93,PGA(NS)=   1.30,PGA(EW)=   1.85,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.09
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  95.18,BAZ=188.40,PGA(V)=   0.34,PGA(NS)=   0.46,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 106.60,BAZ= 68.98,PGA(V)=   0.28,PGA(NS)=   0.80,PGA(EW)=   0.55,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.07
