Origin Time:2025/01/27 09:58:42
Lon:120.53°E
Lat:23.21°N
Depth:11.6km
Mag:4.7
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  45.64,BAZ=198.84,PGA(V)=   3.21,PGA(NS)=   4.75,PGA(EW)=   8.37,PGV(V)=   0.13,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   7.84,PGV(SUM)=   0.27
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  46.82,BAZ=138.26,PGA(V)=   1.94,PGA(NS)=   3.57,PGA(EW)=   3.55,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.07,PGV(SUM)=   0.20
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  50.45,BAZ=272.52,PGA(V)=   0.79,PGA(NS)=   1.22,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.05
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  52.99,BAZ=184.16,PGA(V)=   2.62,PGA(NS)=   8.76,PGA(EW)=   4.99,PGV(V)=   0.07,PGV(NS)=   0.21,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   6.51,PGV(SUM)=   0.21
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  53.54,BAZ=234.58,PGA(V)=   1.23,PGA(NS)=   4.46,PGA(EW)=   4.79,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   4.97,PGV(SUM)=   0.23
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  55.20,BAZ=164.54,PGA(V)=   3.16,PGA(NS)=  10.49,PGA(EW)=   7.29,PGV(V)=   0.06,PGV(NS)=   0.32,PGV(EW)=   0.28,Int= 3級,PGA(SUM)=   9.84,PGV(SUM)=   0.32
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  56.23,BAZ=180.61,PGA(V)=   3.06,PGA(NS)=   5.44,PGA(EW)=   4.59,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   5.33,PGV(SUM)=   0.19
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  56.71,BAZ=146.93,PGA(V)=   2.67,PGA(NS)=  10.97,PGA(EW)=  10.40,PGV(V)=   0.08,PGV(NS)=   0.39,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  13.43,PGV(SUM)=   0.54
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  63.28,BAZ=211.16,PGA(V)=   1.91,PGA(NS)=   6.77,PGA(EW)=   5.38,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   7.27,PGV(SUM)=   0.25
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist=  64.60,BAZ=175.79,PGA(V)=   2.30,PGA(NS)=   4.40,PGA(EW)=   9.54,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.27,Int= 3級,PGA(SUM)=   8.31,PGV(SUM)=   0.27
