Origin Time:2024/04/23 05:24:31
Lon:121.53°E
Lat:23.73°N
Depth:6.7km
Mag:5.3
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  65.96,BAZ=118.16,PGA(V)=   1.30,PGA(NS)=   1.67,PGA(EW)=   1.80,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.11
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  67.82,BAZ=199.37,PGA(V)=   1.44,PGA(NS)=   2.07,PGA(EW)=   1.75,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.35,PGV(SUM)=   0.14
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  68.44,BAZ=146.98,PGA(V)=   0.93,PGA(NS)=   2.04,PGA(EW)=   1.99,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.13
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  68.95,BAZ= 86.76,PGA(V)=   0.99,PGA(NS)=   2.10,PGA(EW)=   1.89,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.10
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  69.62,BAZ=197.95,PGA(V)=   0.99,PGA(NS)=   1.63,PGA(EW)=   2.40,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.38,PGV(SUM)=   0.13
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  71.93,BAZ= 12.74,PGA(V)=   1.06,PGA(NS)=   3.08,PGA(EW)=   4.21,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   4.01,PGV(SUM)=   0.34
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  72.39,BAZ=119.85,PGA(V)=   0.86,PGA(NS)=   1.56,PGA(EW)=   1.36,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.08
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  72.43,BAZ= 27.04,PGA(V)=   0.88,PGA(NS)=   1.22,PGA(EW)=   1.61,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.11
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  77.01,BAZ= 71.30,PGA(V)=   1.18,PGA(NS)=   2.22,PGA(EW)=   2.45,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.87,PGV(SUM)=   0.21
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  77.21,BAZ= 24.15,PGA(V)=   1.22,PGA(NS)=   1.74,PGA(EW)=   2.40,PGV(V)=   0.17,PGV(NS)=   0.25,PGV(EW)=   0.26,Int= 1級,PGA(SUM)=   2.40,PGV(SUM)=   0.28
