Origin Time:2024/04/23 09:45:45
Lon:121.57¢XE
Lat:23.81¢XN
Depth:7.4km
Mag:5.4
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  66.57,BAZ=109.27,PGA(V)=   1.51,PGA(NS)=   2.63,PGA(EW)=   1.91,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.80,PGV(SUM)=   0.18
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  68.28,BAZ= 96.27,PGA(V)=   1.60,PGA(NS)=   4.91,PGA(EW)=   3.95,PGV(V)=   0.15,PGV(NS)=   0.48,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   5.12,PGV(SUM)=   0.48
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  70.05,BAZ=194.67,PGA(V)=   1.66,PGA(NS)=   4.36,PGA(EW)=   3.36,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.96,PGV(SUM)=   0.22
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  71.78,BAZ=164.12,PGA(V)=   2.81,PGA(NS)=   4.53,PGA(EW)=   4.76,PGV(V)=   0.14,PGV(NS)=   0.29,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   4.59,PGV(SUM)=   0.36
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  72.43,BAZ= 60.03,PGA(V)=   1.14,PGA(NS)=   3.39,PGA(EW)=   4.28,PGV(V)=   0.07,PGV(NS)=   0.23,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.24,PGV(SUM)=   0.27
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  72.48,BAZ= 97.99,PGA(V)=   0.61,PGA(NS)=   0.78,PGA(EW)=   0.72,PGV(V)=   0.08,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.12
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  72.62,BAZ=111.72,PGA(V)=   0.67,PGA(NS)=   1.66,PGA(EW)=   1.03,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.15
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  72.89,BAZ=196.51,PGA(V)=   2.14,PGA(NS)=   4.85,PGA(EW)=   3.94,PGV(V)=   0.11,PGV(NS)=   0.38,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   6.31,PGV(SUM)=   0.39
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  73.91,BAZ= 22.81,PGA(V)=   1.19,PGA(NS)=   3.89,PGA(EW)=   2.87,PGV(V)=   0.11,PGV(NS)=   0.22,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   4.13,PGV(SUM)=   0.23
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  74.67,BAZ= 79.93,PGA(V)=   0.75,PGA(NS)=   1.87,PGA(EW)=   1.49,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.84,PGV(SUM)=   0.15
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  81.94,BAZ= 14.54,PGA(V)=   1.45,PGA(NS)=   3.24,PGA(EW)=   6.34,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.04,PGV(SUM)=   0.32
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  82.01,BAZ=128.77,PGA(V)=   0.67,PGA(NS)=   1.11,PGA(EW)=   1.39,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.15
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  82.72,BAZ= 27.06,PGA(V)=   0.98,PGA(NS)=   1.24,PGA(EW)=   1.79,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.82,PGV(SUM)=   0.12
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  84.69,BAZ= 66.44,PGA(V)=   0.68,PGA(NS)=   2.15,PGA(EW)=   1.94,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.38,PGV(SUM)=   0.22
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  86.26,BAZ= 90.58,PGA(V)=   1.41,PGA(NS)=   1.68,PGA(EW)=   3.26,PGV(V)=   0.13,PGV(NS)=   0.18,PGV(EW)=   0.46,Int= 2¯Å,PGA(SUM)=   3.54,PGV(SUM)=   0.48
