Origin Time:2024/05/07 20:48:42
Lon:121.55°E
Lat:23.77°N
Depth:21.3km
Mag:4.8
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  65.78,BAZ=143.40,PGA(V)=   1.00,PGA(NS)=   2.99,PGA(EW)=   1.97,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.08,PGV(SUM)=   0.13
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  66.21,BAZ=100.47,PGA(V)=   0.66,PGA(NS)=   1.29,PGA(EW)=   1.59,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.13
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  67.80,BAZ= 62.22,PGA(V)=   0.59,PGA(NS)=   2.30,PGA(EW)=   2.85,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   3.47,PGV(SUM)=   0.20
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  68.62,BAZ= 22.16,PGA(V)=   0.50,PGA(NS)=   0.93,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.06
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  71.27,BAZ= 83.17,PGA(V)=   0.44,PGA(NS)=   0.95,PGA(EW)=   0.62,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.07
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  71.95,BAZ=115.92,PGA(V)=   0.49,PGA(NS)=   0.88,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.04
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  75.20,BAZ=195.82,PGA(V)=   0.93,PGA(NS)=   2.67,PGA(EW)=   2.11,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.16,PGV(SUM)=   0.09
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  75.53,BAZ=167.09,PGA(V)=   1.34,PGA(NS)=   3.03,PGA(EW)=   3.22,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.33,PGV(SUM)=   0.21
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  76.83,BAZ= 13.40,PGA(V)=   0.52,PGA(NS)=   1.21,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.06
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  78.08,BAZ=197.50,PGA(V)=   1.70,PGA(NS)=   2.01,PGA(EW)=   1.95,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.26,PGV(SUM)=   0.10
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  80.39,BAZ= 68.65,PGA(V)=   0.35,PGA(NS)=   0.71,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.07
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  83.68,BAZ= 93.74,PGA(V)=   0.38,PGA(NS)=   0.73,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.08
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  87.84,BAZ= 97.53,PGA(V)=   0.37,PGA(NS)=   0.96,PGA(EW)=   1.02,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.06
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  89.58,BAZ= 99.57,PGA(V)=   0.63,PGA(NS)=   0.56,PGA(EW)=   0.95,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.06
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  90.87,BAZ= 77.65,PGA(V)=   0.30,PGA(NS)=   0.84,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.07
