Origin Time:2024/04/22 18:50:31
Lon:121.55°E
Lat:23.75°N
Depth:6.8km
Mag:5.7
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  67.14,BAZ=197.12,PGA(V)=   4.25,PGA(NS)=   4.66,PGA(EW)=   4.26,PGV(V)=   0.20,PGV(NS)=   0.25,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   5.88,PGV(SUM)=   0.31
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  67.68,BAZ=144.83,PGA(V)=   2.68,PGA(NS)=  10.17,PGA(EW)=   7.92,PGV(V)=   0.28,PGV(NS)=   0.49,PGV(EW)=   0.38,Int= 3級,PGA(SUM)=  10.29,PGV(SUM)=   0.61
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  70.78,BAZ= 85.16,PGA(V)=   1.60,PGA(NS)=   3.63,PGA(EW)=   2.39,PGV(V)=   0.28,PGV(NS)=   0.19,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.59,PGV(SUM)=   0.32
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  70.90,BAZ=104.01,PGA(V)=   1.02,PGA(NS)=   1.25,PGA(EW)=   1.29,PGV(V)=   0.38,PGV(NS)=   0.16,PGV(EW)=   0.39,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.39
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  72.87,BAZ=117.77,PGA(V)=   2.26,PGA(NS)=   3.19,PGA(EW)=   2.96,PGV(V)=   0.28,PGV(NS)=   0.24,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   3.39,PGV(SUM)=   0.33
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  74.33,BAZ= 13.67,PGA(V)=   3.50,PGA(NS)=   6.81,PGA(EW)=  11.91,PGV(V)=   0.33,PGV(NS)=   0.51,PGV(EW)=   0.98,Int= 3級,PGA(SUM)=  12.86,PGV(SUM)=   0.99
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  75.05,BAZ= 27.48,PGA(V)=   1.89,PGA(NS)=   2.62,PGA(EW)=   2.53,PGV(V)=   0.23,PGV(NS)=   0.22,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   3.60,PGV(SUM)=   0.32
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  77.68,BAZ=195.49,PGA(V)=   3.11,PGA(NS)=   5.78,PGA(EW)=   6.22,PGV(V)=   0.15,PGV(NS)=   0.17,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   5.40,PGV(SUM)=   0.21
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  77.93,BAZ=167.67,PGA(V)=   3.37,PGA(NS)=   7.55,PGA(EW)=   6.14,PGV(V)=   0.26,PGV(NS)=   0.49,PGV(EW)=   0.40,Int= 2級,PGA(SUM)=   7.43,PGV(SUM)=   0.50
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  79.29,BAZ= 70.28,PGA(V)=   1.96,PGA(NS)=   5.48,PGA(EW)=   4.50,PGV(V)=   0.21,PGV(NS)=   0.40,PGV(EW)=   0.39,Int= 2級,PGA(SUM)=   6.40,PGV(SUM)=   0.48
