Origin Time:2024/04/03 08:46:44
Lon:121.70¢XE
Lat:24.19¢XN
Depth:6.1km
Mag:5.6
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   8.39,BAZ= 69.41,PGA(V)=  83.89,PGA(NS)= 412.80,PGA(EW)= 141.92,PGV(V)=   1.93,PGV(NS)=  11.14,PGV(EW)=   3.59,Int= 4¯Å,PGA(SUM)= 293.50,PGV(SUM)=  11.40
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  63.58,BAZ= 25.89,PGA(V)=   5.56,PGA(NS)=   6.52,PGA(EW)=   7.61,PGV(V)=   0.23,PGV(NS)=   0.42,PGV(EW)=   0.51,Int= 2¯Å,PGA(SUM)=   7.13,PGV(SUM)=   0.56
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  63.80,BAZ=147.98,PGA(V)=   1.67,PGA(NS)=   1.96,PGA(EW)=   2.20,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.17,PGV(SUM)=   0.18
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  64.32,BAZ=185.08,PGA(V)=   1.59,PGA(NS)=   3.08,PGA(EW)=   3.92,PGV(V)=   0.22,PGV(NS)=   0.50,PGV(EW)=   0.38,Int= 2¯Å,PGA(SUM)=   4.14,PGV(SUM)=   0.61
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  75.17,BAZ=190.10,PGA(V)=   1.41,PGA(NS)=   2.15,PGA(EW)=   2.79,PGV(V)=   0.13,PGV(NS)=   0.28,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   2.83,PGV(SUM)=   0.30
Stacode=A124,Staname=¯Q¨Ó  ,Stalon=121.55,Stalat=24.86,Dist=  76.60,BAZ=168.80,PGA(V)=   2.72,PGA(NS)=   4.23,PGA(EW)=   2.11,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   4.56,PGV(SUM)=   0.22
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist=  77.04,BAZ=129.94,PGA(V)=   0.77,PGA(NS)=   1.07,PGA(EW)=   1.02,PGV(V)=   0.15,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.18
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  77.29,BAZ= 97.61,PGA(V)=   1.55,PGA(NS)=   2.63,PGA(EW)=   1.95,PGV(V)=   0.16,PGV(NS)=   0.25,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.89,PGV(SUM)=   0.27
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  77.91,BAZ= 75.77,PGA(V)=   1.66,PGA(NS)=   1.88,PGA(EW)=   1.39,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.05,PGV(SUM)=   0.17
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  81.40,BAZ= 79.91,PGA(V)=   0.60,PGA(NS)=   1.00,PGA(EW)=   0.97,PGV(V)=   0.10,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.13
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  84.38,BAZ= 26.55,PGA(V)=   1.37,PGA(NS)=   2.54,PGA(EW)=   2.00,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   2.56,PGV(SUM)=   0.21
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist=  84.42,BAZ=140.94,PGA(V)=   1.34,PGA(NS)=   3.06,PGA(EW)=   2.70,PGV(V)=   0.16,PGV(NS)=   0.24,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   2.98,PGV(SUM)=   0.28
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist=  85.66,BAZ=125.06,PGA(V)=   1.10,PGA(NS)=   1.14,PGA(EW)=   1.44,PGV(V)=   0.13,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.19
