Origin Time:2024/09/19 01:10:15
Lon:121.50°E
Lat:24.08°N
Depth:19.6km
Mag:4.7
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  60.18,BAZ=111.43,PGA(V)=   0.55,PGA(NS)=   1.25,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.06
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  63.81,BAZ= 69.91,PGA(V)=   0.31,PGA(NS)=   0.50,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.07
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  65.37,BAZ=199.93,PGA(V)=   1.71,PGA(NS)=   2.32,PGA(EW)=   3.20,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.42,PGV(SUM)=   0.11
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  65.96,BAZ= 14.98,PGA(V)=   1.01,PGA(NS)=   1.37,PGA(EW)=   1.39,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.03
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  67.17,BAZ=168.63,PGA(V)=   0.64,PGA(NS)=   1.90,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.05
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  69.20,BAZ=212.14,PGA(V)=   0.94,PGA(NS)=   1.08,PGA(EW)=   3.18,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.06
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  72.32,BAZ=147.84,PGA(V)=   1.04,PGA(NS)=   0.71,PGA(EW)=   0.61,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.03
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  73.23,BAZ=194.91,PGA(V)=   0.83,PGA(NS)=   1.58,PGA(EW)=   2.00,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.09
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist=  78.56,BAZ=140.90,PGA(V)=   0.54,PGA(NS)=   0.77,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.05
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  79.58,BAZ=142.19,PGA(V)=   1.84,PGA(NS)=   4.13,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   2.13,PGV(SUM)=   0.06
