Origin Time:2021/09/01 06:27:56
Lon:120.71¢XE
Lat:23.27¢XN
Depth:13.7km
Mag:4.9
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  51.06,AZ=100.21,PGA(V)=   3.34,PGA(NS)=   9.71,PGA(EW)=  11.28,PGV(V)=   0.08,PGV(NS)=   0.25,PGV(EW)=   0.28,Int= 3¯Å,PGA(SUM)=  11.52,PGV(SUM)=   0.33
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  52.00,AZ=284.41,PGA(V)=   2.80,PGA(NS)=   3.90,PGA(EW)=   2.22,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.87,PGV(SUM)=   0.20
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  52.87,AZ=160.19,PGA(V)=   2.36,PGA(NS)=   4.23,PGA(EW)=   3.66,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.26,PGV(SUM)=   0.20
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  53.41,AZ= 78.98,PGA(V)=   5.85,PGA(NS)=   9.31,PGA(EW)=  10.80,PGV(V)=   0.15,PGV(NS)=   0.30,PGV(EW)=   0.34,Int= 3¯Å,PGA(SUM)=   9.87,PGV(SUM)=   0.40
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  55.02,AZ= 62.72,PGA(V)=   1.72,PGA(NS)=   4.20,PGA(EW)=   3.08,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.24,PGV(SUM)=   0.24
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  55.05,AZ=290.04,PGA(V)=   1.60,PGA(NS)=   2.66,PGA(EW)=   1.99,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.84,PGV(SUM)=   0.19
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  57.26,AZ=119.80,PGA(V)=   3.19,PGA(NS)=   7.77,PGA(EW)=   6.13,PGV(V)=   0.09,PGV(NS)=   0.25,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   6.98,PGV(SUM)=   0.25
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  57.35,AZ=144.58,PGA(V)=   3.55,PGA(NS)=   3.15,PGA(EW)=   3.23,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.39,PGV(SUM)=   0.16
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  58.23,AZ=  7.46,PGA(V)=   1.33,PGA(NS)=   1.98,PGA(EW)=   1.77,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.06,PGV(SUM)=   0.07
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  58.29,AZ=313.04,PGA(V)=   1.03,PGA(NS)=   1.10,PGA(EW)=   1.60,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.08
