Origin Time:2024/02/29 13:26:27
Lon:120.28¢XE
Lat:23.46¢XN
Depth:16.8km
Mag:5.0
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  46.69,BAZ=  5.44,PGA(V)=   1.12,PGA(NS)=   1.54,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.84,PGV(SUM)=   0.06
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  48.82,BAZ=351.80,PGA(V)=   1.00,PGA(NS)=   1.70,PGA(EW)=   2.27,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.39,PGV(SUM)=   0.09
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  50.29,BAZ=191.50,PGA(V)=  14.90,PGA(NS)=  28.80,PGA(EW)=  19.41,PGV(V)=   0.33,PGV(NS)=   0.99,PGV(EW)=   0.51,Int= 4¯Å,PGA(SUM)=  27.85,PGV(SUM)=   1.02
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=22.99,Dist=  52.01,BAZ=  8.50,PGA(V)=   1.35,PGA(NS)=   1.20,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.04
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  52.51,BAZ=322.71,PGA(V)=   0.82,PGA(NS)=   1.42,PGA(EW)=   1.28,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.06
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  54.79,BAZ=264.11,PGA(V)=   1.19,PGA(NS)=   3.42,PGA(EW)=   3.76,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.74,PGV(SUM)=   0.19
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  59.82,BAZ=301.02,PGA(V)=   1.50,PGA(NS)=   6.03,PGA(EW)=   2.98,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   5.40,PGV(SUM)=   0.15
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  60.97,BAZ=228.57,PGA(V)=   2.94,PGA(NS)=   6.05,PGA(EW)=   4.19,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   6.39,PGV(SUM)=   0.21
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  62.64,BAZ=222.21,PGA(V)=   2.62,PGA(NS)=  10.79,PGA(EW)=   8.37,PGV(V)=   0.06,PGV(NS)=   0.26,PGV(EW)=   0.31,Int= 3¯Å,PGA(SUM)=   9.39,PGV(SUM)=   0.36
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  63.54,BAZ=208.79,PGA(V)=   4.61,PGA(NS)=  10.30,PGA(EW)=   9.33,PGV(V)=   0.12,PGV(NS)=   0.37,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=   9.80,PGV(SUM)=   0.38
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  64.20,BAZ=245.71,PGA(V)=   1.60,PGA(NS)=   6.06,PGA(EW)=   3.41,PGV(V)=   0.05,PGV(NS)=   0.28,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   6.18,PGV(SUM)=   0.29
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  64.38,BAZ=219.36,PGA(V)=   5.99,PGA(NS)=   5.35,PGA(EW)=   8.23,PGV(V)=   0.20,PGV(NS)=   0.27,PGV(EW)=   0.34,Int= 3¯Å,PGA(SUM)=   8.48,PGV(SUM)=   0.34
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  67.04,BAZ=340.93,PGA(V)=   1.18,PGA(NS)=   2.03,PGA(EW)=   1.87,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.07,PGV(SUM)=   0.14
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  69.49,BAZ=267.29,PGA(V)=   0.79,PGA(NS)=   2.40,PGA(EW)=   2.34,PGV(V)=   0.04,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.50,PGV(SUM)=   0.16
Stacode=PNG ,Staname=°¨¤½¥«,Stalon=119.56,Stalat=23.57,Dist=  74.10,BAZ= 99.26,PGA(V)=   2.04,PGA(NS)=   3.26,PGA(EW)=   2.78,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.85,PGV(SUM)=   0.05
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  74.48,BAZ=202.39,PGA(V)=   6.11,PGA(NS)=  17.28,PGA(EW)=  24.27,PGV(V)=   0.19,PGV(NS)=   0.46,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  21.39,PGV(SUM)=   0.60
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  77.94,BAZ=230.53,PGA(V)=   0.63,PGA(NS)=   0.99,PGA(EW)=   1.35,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.40,PGV(SUM)=   0.07
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  78.21,BAZ=355.84,PGA(V)=   0.61,PGA(NS)=   0.88,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.05
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  81.89,BAZ=291.46,PGA(V)=   0.79,PGA(NS)=   1.11,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.53,PGV(SUM)=   0.06
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  86.61,BAZ=208.40,PGA(V)=   1.23,PGA(NS)=   2.31,PGA(EW)=   2.35,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.72,PGV(SUM)=   0.10
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  92.44,BAZ=228.35,PGA(V)=   0.80,PGA(NS)=   0.89,PGA(EW)=   1.46,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.08
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  92.46,BAZ=224.16,PGA(V)=   0.59,PGA(NS)=   1.48,PGA(EW)=   1.40,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.08
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 100.72,BAZ=289.85,PGA(V)=   0.75,PGA(NS)=   2.75,PGA(EW)=   1.39,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.87,PGV(SUM)=   0.13
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 104.14,BAZ=292.67,PGA(V)=   0.80,PGA(NS)=   1.07,PGA(EW)=   1.71,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.07
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 105.20,BAZ=200.42,PGA(V)=   0.83,PGA(NS)=   1.74,PGA(EW)=   2.13,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.08
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist= 106.31,BAZ=305.06,PGA(V)=   0.65,PGA(NS)=   0.89,PGA(EW)=   0.80,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.08
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist= 106.92,BAZ=276.57,PGA(V)=   0.34,PGA(NS)=   0.88,PGA(EW)=   0.61,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.06
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist= 107.38,BAZ=267.27,PGA(V)=   0.48,PGA(NS)=   1.08,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.08
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 107.59,BAZ=285.45,PGA(V)=   0.41,PGA(NS)=   1.19,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.09
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 110.88,BAZ=207.40,PGA(V)=   1.66,PGA(NS)=   2.53,PGA(EW)=   2.86,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.90,PGV(SUM)=   0.11
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 113.35,BAZ=216.75,PGA(V)=   1.05,PGA(NS)=   1.32,PGA(EW)=   1.89,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.10
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 117.11,BAZ=205.20,PGA(V)=   0.91,PGA(NS)=   1.53,PGA(EW)=   1.02,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.05
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist= 119.46,BAZ=258.71,PGA(V)=   0.52,PGA(NS)=   0.79,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist= 120.75,BAZ=277.44,PGA(V)=   0.35,PGA(NS)=   1.01,PGA(EW)=   0.67,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.12
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist= 124.85,BAZ=251.68,PGA(V)=   0.34,PGA(NS)=   0.74,PGA(EW)=   0.49,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.05
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist= 125.54,BAZ=225.69,PGA(V)=   0.91,PGA(NS)=   4.39,PGA(EW)=   1.72,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   4.35,PGV(SUM)=   0.20
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist= 126.49,BAZ=233.10,PGA(V)=   0.75,PGA(NS)=   1.55,PGA(EW)=   1.94,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.44,PGV(SUM)=   0.09
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist= 131.51,BAZ=228.30,PGA(V)=   0.50,PGA(NS)=   0.89,PGA(EW)=   1.06,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.08
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 134.62,BAZ=204.37,PGA(V)=   0.68,PGA(NS)=   1.94,PGA(EW)=   1.69,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.07
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist= 135.88,BAZ=245.53,PGA(V)=   0.50,PGA(NS)=   0.79,PGA(EW)=   1.63,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.09
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist= 143.57,BAZ=249.88,PGA(V)=   0.38,PGA(NS)=   0.85,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.07
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist= 147.56,BAZ=247.15,PGA(V)=   0.56,PGA(NS)=   1.01,PGA(EW)=   1.81,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.07,PGV(SUM)=   0.13
