Origin Time:2020/12/10 13:29:38
Lon:121.55¢XE
Lat:23.45¢XN
Depth:38.0km
Mag:5.4
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  75.82,AZ= 94.62,PGA(V)=   2.10,PGA(NS)=   3.49,PGA(EW)=   3.72,PGV(V)=   0.07,PGV(NS)=   0.25,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.83,PGV(SUM)=   0.27
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  76.36,AZ=110.63,PGA(V)=   1.39,PGA(NS)=   2.27,PGA(EW)=   1.57,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.38,PGV(SUM)=   0.12
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  78.41,AZ=185.19,PGA(V)=   1.33,PGA(NS)=   5.89,PGA(EW)=   4.00,PGV(V)=   0.04,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.99,PGV(SUM)=   0.20
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  81.10,AZ=125.78,PGA(V)=   0.77,PGA(NS)=   1.38,PGA(EW)=   1.94,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.15
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  81.63,AZ=159.47,PGA(V)=   1.71,PGA(NS)=   4.12,PGA(EW)=   5.16,PGV(V)=   0.11,PGV(NS)=   0.22,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   5.01,PGV(SUM)=   0.24
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  83.78,AZ=175.01,PGA(V)=   5.36,PGA(NS)=   5.03,PGA(EW)=   5.10,PGV(V)=   0.14,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   5.51,PGV(SUM)=   0.18
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  85.46,AZ= 34.56,PGA(V)=   0.66,PGA(NS)=   1.52,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.06
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  86.79,AZ=  5.69,PGA(V)=   0.84,PGA(NS)=   0.98,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.04
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  87.68,AZ= 27.74,PGA(V)=   0.32,PGA(NS)=   0.91,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.06
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  90.83,AZ=100.12,PGA(V)=   1.74,PGA(NS)=   3.03,PGA(EW)=   4.61,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.66,PGV(SUM)=   0.27
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  93.46,AZ=160.29,PGA(V)=   1.79,PGA(NS)=   3.61,PGA(EW)=   2.96,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.25,PGV(SUM)=   0.23
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  96.70,AZ=191.89,PGA(V)=   1.96,PGA(NS)=   1.95,PGA(EW)=   1.90,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.08,PGV(SUM)=   0.20
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  96.78,AZ=155.68,PGA(V)=   2.02,PGA(NS)=   2.49,PGA(EW)=   2.00,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.86,PGV(SUM)=   0.24
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  96.93,AZ= 89.04,PGA(V)=   1.62,PGA(NS)=   3.22,PGA(EW)=   2.68,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.38,PGV(SUM)=   0.16
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  97.97,AZ= 76.31,PGA(V)=   0.80,PGA(NS)=   1.58,PGA(EW)=   1.81,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.10
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  99.55,AZ=118.11,PGA(V)=   1.06,PGA(NS)=   1.47,PGA(EW)=   1.58,PGV(V)=   0.06,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.07
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 102.28,AZ=119.42,PGA(V)=   1.74,PGA(NS)=   1.59,PGA(EW)=   2.04,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.07
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 103.56,AZ=104.32,PGA(V)=   1.51,PGA(NS)=   2.13,PGA(EW)=   2.75,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.37,PGV(SUM)=   0.15
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist= 105.87,AZ= 61.25,PGA(V)=   0.58,PGA(NS)=   0.99,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.07
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist= 106.77,AZ= 67.26,PGA(V)=   0.37,PGA(NS)=   1.11,PGA(EW)=   1.23,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.07
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 108.90,AZ=126.84,PGA(V)=   1.69,PGA(NS)=   1.31,PGA(EW)=   1.82,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.09
