Origin Time:2022/12/24 05:17:59
Lon:121.18°E
Lat:23.13°N
Depth:13.9km
Mag:5.2
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  62.83,BAZ= 20.64,PGA(V)=   3.64,PGA(NS)=   6.20,PGA(EW)=   6.60,PGV(V)=   0.22,PGV(NS)=   0.27,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=   8.16,PGV(SUM)=   0.37
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  65.26,BAZ=203.05,PGA(V)=   1.11,PGA(NS)=   1.79,PGA(EW)=   1.96,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.08
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist=  66.77,BAZ= 95.55,PGA(V)=   0.85,PGA(NS)=   1.21,PGA(EW)=   1.21,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.20
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  68.02,BAZ=120.52,PGA(V)=   1.86,PGA(NS)=   4.26,PGA(EW)=   2.89,PGV(V)=   0.10,PGV(NS)=   0.30,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.64,PGV(SUM)=   0.31
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  69.51,BAZ= 52.47,PGA(V)=   1.53,PGA(NS)=   3.16,PGA(EW)=   2.33,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.94,PGV(SUM)=   0.20
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.27,Dist=  71.03,BAZ=102.46,PGA(V)=   0.57,PGA(NS)=   1.01,PGA(EW)=   1.20,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.18
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  71.24,BAZ=152.28,PGA(V)=   0.68,PGA(NS)=   1.19,PGA(EW)=   0.90,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.05
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  71.85,BAZ= 49.50,PGA(V)=   1.37,PGA(NS)=   2.76,PGA(EW)=   1.54,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.75,PGV(SUM)=   0.10
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  73.04,BAZ=135.52,PGA(V)=   0.98,PGA(NS)=   2.03,PGA(EW)=   1.81,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.20
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  74.65,BAZ=210.44,PGA(V)=   0.44,PGA(NS)=   0.91,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.05
