Origin Time:2018/02/04 21:12:52
Lon:121.70°E
Lat:24.21°N
Depth:3.0km
Mag:5.3
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  99.33,AZ=122.22,PGA(V)=   0.60,PGA(NS)=   1.26,PGA(EW)=   1.08
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 103.32,AZ= 79.95,PGA(V)=   0.60,PGA(NS)=   1.14,PGA(EW)=   1.50
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 103.36,AZ= 86.33,PGA(V)=   0.30,PGA(NS)=   0.60,PGA(EW)=   1.02
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 108.67,AZ= 70.42,PGA(V)=   0.36,PGA(NS)=   1.32,PGA(EW)=   1.14
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 108.80,AZ= 72.30,PGA(V)=   1.14,PGA(NS)=   1.08,PGA(EW)=   1.02
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 116.34,AZ= 86.14,PGA(V)=   0.60,PGA(NS)=   1.74,PGA(EW)=   1.20
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 116.90,AZ= 83.26,PGA(V)=   0.78,PGA(NS)=   1.44,PGA(EW)=   1.62
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 116.98,AZ= 76.59,PGA(V)=   1.02,PGA(NS)=   2.09,PGA(EW)=   2.15
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 118.37,AZ= 68.34,PGA(V)=   0.54,PGA(NS)=   1.85,PGA(EW)=   1.56
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 118.76,AZ= 49.44,PGA(V)=   0.60,PGA(NS)=   1.62,PGA(EW)=   2.57
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 123.94,AZ= 57.08,PGA(V)=   0.84,PGA(NS)=   3.35,PGA(EW)=   4.67
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 127.13,AZ= 15.18,PGA(V)=   0.90,PGA(NS)=   1.32,PGA(EW)=   2.27
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 128.57,AZ= 63.33,PGA(V)=   1.14,PGA(NS)=   1.38,PGA(EW)=   2.15
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 130.02,AZ= 65.30,PGA(V)=   0.72,PGA(NS)=   2.15,PGA(EW)=   1.79
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 132.34,AZ= 21.71,PGA(V)=   0.96,PGA(NS)=   1.91,PGA(EW)=   2.15
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist= 147.09,AZ= 49.97,PGA(V)=   0.66,PGA(NS)=   1.44,PGA(EW)=   1.50
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 148.41,AZ= 75.12,PGA(V)=   0.48,PGA(NS)=   1.68,PGA(EW)=   1.38
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 151.05,AZ= 58.65,PGA(V)=   0.66,PGA(NS)=   1.97,PGA(EW)=   2.03
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 162.33,AZ= 67.15,PGA(V)=   0.72,PGA(NS)=   3.53,PGA(EW)=   4.73
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 168.83,AZ= 61.72,PGA(V)=   0.24,PGA(NS)=   1.44,PGA(EW)=   1.38
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 184.92,AZ= 47.41,PGA(V)=   0.42,PGA(NS)=   0.72,PGA(EW)=   0.84
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 186.37,AZ= 50.55,PGA(V)=   0.30,PGA(NS)=   0.90,PGA(EW)=   1.08
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 190.75,AZ= 53.19,PGA(V)=   0.18,PGA(NS)=   0.90,PGA(EW)=   1.20
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 202.02,AZ= 54.52,PGA(V)=   0.24,PGA(NS)=   0.78,PGA(EW)=   0.96
