Origin Time:2024/09/13 12:59:33
Lon:121.70°E
Lat:23.96°N
Depth:29.2km
Mag:5.0
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  63.17,BAZ=120.66,PGA(V)=   1.12,PGA(NS)=   1.78,PGA(EW)=   1.22,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.09
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  74.83,BAZ=181.59,PGA(V)=   0.87,PGA(NS)=   0.91,PGA(EW)=   1.31,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.05
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  75.40,BAZ= 19.37,PGA(V)=   0.90,PGA(NS)=   2.71,PGA(EW)=   2.42,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.14
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  77.89,BAZ= 29.61,PGA(V)=   1.07,PGA(NS)=   0.88,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.08
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  90.68,BAZ= 71.30,PGA(V)=   0.85,PGA(NS)=   1.45,PGA(EW)=   1.40,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.09
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  91.49,BAZ= 55.21,PGA(V)=   1.82,PGA(NS)=   3.37,PGA(EW)=   4.73,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   5.31,PGV(SUM)=   0.26
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  93.64,BAZ= 26.02,PGA(V)=   0.55,PGA(NS)=   1.24,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.08
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 100.89,BAZ= 19.09,PGA(V)=   0.89,PGA(NS)=   1.85,PGA(EW)=   2.14,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.15,PGV(SUM)=   0.10
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 101.84,BAZ= 95.20,PGA(V)=   0.61,PGA(NS)=   1.60,PGA(EW)=   1.44,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.09
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 102.60,BAZ= 84.92,PGA(V)=   0.51,PGA(NS)=   0.88,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.04
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist= 102.71,BAZ= 29.16,PGA(V)=   0.95,PGA(NS)=   0.73,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.05
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 102.90,BAZ= 61.01,PGA(V)=   0.64,PGA(NS)=   1.40,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.10
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 105.00,BAZ=101.37,PGA(V)=   0.47,PGA(NS)=   0.99,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.08
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 105.91,BAZ=144.36,PGA(V)=   0.52,PGA(NS)=   0.68,PGA(EW)=   0.73,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.04
