Origin Time:2024/11/22 20:40:17
Lon:120.20°E
Lat:23.19°N
Depth:14.0km
Mag:5.5
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=   1.70,BAZ=358.97,PGA(V)= 119.97,PGA(NS)= 254.29,PGA(EW)= 234.15,PGV(V)=   2.74,PGV(NS)=  11.54,PGV(EW)=  12.76,Int= 5弱,PGA(SUM)= 193.40,PGV(SUM)=  16.48
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  17.18,BAZ=347.92,PGA(V)=  19.48,PGA(NS)=  22.82,PGA(EW)=  40.77,PGV(V)=   0.43,PGV(NS)=   1.06,PGV(EW)=   1.70,Int= 4級,PGA(SUM)=  45.66,PGV(SUM)=   1.74
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist=  17.59,BAZ=187.08,PGA(V)=  52.85,PGA(NS)=  41.54,PGA(EW)=  53.04,PGV(V)=   0.74,PGV(NS)=   2.14,PGV(EW)=   1.62,Int= 4級,PGA(SUM)=  46.14,PGV(SUM)=   2.29
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist=  21.76,BAZ=359.14,PGA(V)=   9.45,PGA(NS)=  14.35,PGA(EW)=  10.24,PGV(V)=   0.23,PGV(NS)=   0.84,PGV(EW)=   0.83,Int= 3級,PGA(SUM)=  11.35,PGV(SUM)=   0.91
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  23.93,BAZ=321.19,PGA(V)=   9.38,PGA(NS)=  17.97,PGA(EW)=  17.57,PGV(V)=   0.33,PGV(NS)=   0.83,PGV(EW)=   0.97,Int= 3級,PGA(SUM)=  20.32,PGV(SUM)=   1.06
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist=  28.28,BAZ=230.36,PGA(V)=  23.23,PGA(NS)=  39.24,PGA(EW)=  75.52,PGV(V)=   0.50,PGV(NS)=   1.45,PGV(EW)=   1.91,Int= 4級,PGA(SUM)=  63.65,PGV(SUM)=   1.93
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist=  31.08,BAZ=197.70,PGA(V)=  27.58,PGA(NS)=  83.07,PGA(EW)=  77.76,PGV(V)=   0.50,PGV(NS)=   1.95,PGV(EW)=   2.06,Int= 4級,PGA(SUM)=  92.73,PGV(SUM)=   2.43
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  33.49,BAZ=270.90,PGA(V)=   2.63,PGA(NS)=   4.80,PGA(EW)=   3.48,PGV(V)=   0.14,PGV(NS)=   0.21,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.63,PGV(SUM)=   0.22
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  36.97,BAZ=184.17,PGA(V)=  13.39,PGA(NS)=  24.90,PGA(EW)=  25.49,PGV(V)=   0.30,PGV(NS)=   0.94,PGV(EW)=   0.84,Int= 4級,PGA(SUM)=  25.86,PGV(SUM)=   1.27
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  41.36,BAZ=214.82,PGA(V)=   7.36,PGA(NS)=  17.69,PGA(EW)=  19.52,PGV(V)=   0.23,PGV(NS)=   0.76,PGV(EW)=   1.16,Int= 3級,PGA(SUM)=  21.75,PGV(SUM)=   1.39
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  41.66,BAZ=286.88,PGA(V)=   1.02,PGA(NS)=   2.44,PGA(EW)=   2.13,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.20
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  43.48,BAZ=262.08,PGA(V)=   1.82,PGA(NS)=   5.92,PGA(EW)=   6.71,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.92,PGV(SUM)=   0.22
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  45.08,BAZ=318.35,PGA(V)=   4.45,PGA(NS)=   5.27,PGA(EW)=   5.92,PGV(V)=   0.18,PGV(NS)=   0.29,PGV(EW)=   0.40,Int= 2級,PGA(SUM)=   6.56,PGV(SUM)=   0.45
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  47.06,BAZ=216.36,PGA(V)=   8.11,PGA(NS)=  13.98,PGA(EW)=  15.29,PGV(V)=   0.27,PGV(NS)=   0.54,PGV(EW)=   0.62,Int= 3級,PGA(SUM)=  10.58,PGV(SUM)=   0.69
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  49.55,BAZ=183.35,PGA(V)=  10.83,PGA(NS)=  21.70,PGA(EW)=  39.67,PGV(V)=   0.29,PGV(NS)=   0.96,PGV(EW)=   1.54,Int= 4級,PGA(SUM)=  39.42,PGV(SUM)=   1.61
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  49.60,BAZ=236.23,PGA(V)=   5.52,PGA(NS)=  10.63,PGA(EW)=   9.50,PGV(V)=   0.26,PGV(NS)=   0.41,PGV(EW)=   0.50,Int= 3級,PGA(SUM)=  11.01,PGV(SUM)=   0.56
