Origin Time:2024/04/23 04:03:07
Lon:121.60°E
Lat:23.83°N
Depth:8.1km
Mag:5.2
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  71.19,BAZ=161.46,PGA(V)=   0.91,PGA(NS)=   2.49,PGA(EW)=   2.23,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   2.66,PGV(SUM)=   0.31
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  75.81,BAZ= 60.15,PGA(V)=   0.36,PGA(NS)=   1.22,PGA(EW)=   1.81,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.12
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  83.43,BAZ=126.65,PGA(V)=   0.45,PGA(NS)=   0.79,PGA(EW)=   0.62,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.11
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  84.24,BAZ= 16.26,PGA(V)=   0.28,PGA(NS)=   0.73,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.06
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  86.28,BAZ=173.84,PGA(V)=   0.45,PGA(NS)=   0.69,PGA(EW)=   0.89,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.13
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  88.06,BAZ= 66.30,PGA(V)=   0.32,PGA(NS)=   0.81,PGA(EW)=   0.62,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.10
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  89.26,BAZ= 89.57,PGA(V)=   0.43,PGA(NS)=   0.80,PGA(EW)=   1.64,PGV(V)=   0.10,PGV(NS)=   0.07,PGV(EW)=   0.28,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.30
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  89.74,BAZ=178.04,PGA(V)=   0.55,PGA(NS)=   1.74,PGA(EW)=   1.00,PGV(V)=   0.08,PGV(NS)=   0.23,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.24
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  90.00,BAZ=187.31,PGA(V)=   0.71,PGA(NS)=   1.35,PGA(EW)=   1.40,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.65,PGV(SUM)=   0.16
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  95.07,BAZ=104.44,PGA(V)=   0.40,PGA(NS)=   1.27,PGA(EW)=   1.10,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.20
