Origin Time:2024/04/23 03:20:11
Lon:121.54°E
Lat:23.87°N
Depth:10.3km
Mag:5.2
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  81.61,BAZ=177.83,PGA(V)=   0.78,PGA(NS)=   1.04,PGA(EW)=   1.26,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.09
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  83.19,BAZ= 86.62,PGA(V)=   0.65,PGA(NS)=   1.06,PGA(EW)=   1.66,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.22,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.23
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  84.31,BAZ= 61.97,PGA(V)=   0.57,PGA(NS)=   1.43,PGA(EW)=   1.05,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.14
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  85.52,BAZ=182.08,PGA(V)=   0.72,PGA(NS)=   2.20,PGA(EW)=   1.97,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.20,PGV(SUM)=   0.14
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  86.58,BAZ= 23.43,PGA(V)=   0.66,PGA(NS)=   1.05,PGA(EW)=   1.02,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.08
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  86.64,BAZ= 90.76,PGA(V)=   0.50,PGA(NS)=   0.65,PGA(EW)=   0.76,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.07
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  86.85,BAZ=191.71,PGA(V)=   1.19,PGA(NS)=   2.20,PGA(EW)=   1.52,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.34,PGV(SUM)=   0.14
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  86.85,BAZ= 11.54,PGA(V)=   0.90,PGA(NS)=   1.91,PGA(EW)=   2.44,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   2.59,PGV(SUM)=   0.15
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  87.99,BAZ= 92.95,PGA(V)=   0.75,PGA(NS)=   0.85,PGA(EW)=   0.72,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.09
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  88.05,BAZ=102.78,PGA(V)=   0.99,PGA(NS)=   1.92,PGA(EW)=   1.58,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.23
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  91.22,BAZ=168.67,PGA(V)=   0.53,PGA(NS)=   1.44,PGA(EW)=   1.63,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.87,PGV(SUM)=   0.12
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  91.57,BAZ= 21.18,PGA(V)=   0.76,PGA(NS)=   1.03,PGA(EW)=   1.31,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.13
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  91.95,BAZ= 35.12,PGA(V)=   0.55,PGA(NS)=   0.76,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.04
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  92.72,BAZ=109.50,PGA(V)=   0.43,PGA(NS)=   0.79,PGA(EW)=   0.82,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.12
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  93.20,BAZ= 71.36,PGA(V)=   0.77,PGA(NS)=   2.16,PGA(EW)=   3.19,PGV(V)=   0.08,PGV(NS)=   0.27,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   3.73,PGV(SUM)=   0.41
