Origin Time:2024/04/25 02:11:54
Lon:122.34°E
Lat:23.98°N
Depth:24.8km
Mag:5.7
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 109.42,BAZ=152.07,PGA(V)=   1.60,PGA(NS)=   3.89,PGA(EW)=   3.05,PGV(V)=   0.14,PGV(NS)=   0.38,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   4.38,PGV(SUM)=   0.40
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 109.59,BAZ= 99.47,PGA(V)=   3.01,PGA(NS)=   5.53,PGA(EW)=   8.03,PGV(V)=   0.16,PGV(NS)=   0.26,PGV(EW)=   0.33,Int= 3級,PGA(SUM)=   8.10,PGV(SUM)=   0.34
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 114.84,BAZ=104.92,PGA(V)=   1.08,PGA(NS)=   4.06,PGA(EW)=   2.02,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   4.11,PGV(SUM)=   0.19
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist= 115.32,BAZ= 62.74,PGA(V)=   0.89,PGA(NS)=   1.75,PGA(EW)=   1.68,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.74,PGV(SUM)=   0.13
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist= 121.35,BAZ=154.79,PGA(V)=   0.59,PGA(NS)=   1.05,PGA(EW)=   1.05,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.11
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 122.97,BAZ=104.01,PGA(V)=   0.92,PGA(NS)=   4.11,PGA(EW)=   1.83,PGV(V)=   0.07,PGV(NS)=   0.27,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.20,PGV(SUM)=   0.28
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 124.74,BAZ=127.98,PGA(V)=   0.55,PGA(NS)=   0.96,PGA(EW)=   1.04,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.10
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist= 125.18,BAZ= 55.91,PGA(V)=   0.73,PGA(NS)=   1.97,PGA(EW)=   1.46,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.05,PGV(SUM)=   0.11
Stacode=A124,Staname=烏來  ,Stalon=121.55,Stalat=24.86,Dist= 125.92,BAZ=140.96,PGA(V)=   0.92,PGA(NS)=   0.98,PGA(EW)=   1.00,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.08
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 133.23,BAZ=155.08,PGA(V)=   0.87,PGA(NS)=   2.49,PGA(EW)=   3.31,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   3.30,PGV(SUM)=   0.30
