Origin Time:2024/04/03 23:42:36
Lon:121.68°E
Lat:24.17°N
Depth:18.8km
Mag:5.1
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  53.17,BAZ= 99.67,PGA(V)=   3.96,PGA(NS)=  10.64,PGA(EW)=   5.67,PGV(V)=   0.17,PGV(NS)=   0.47,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  10.46,PGV(SUM)=   0.51
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  60.84,BAZ=180.48,PGA(V)=   1.14,PGA(NS)=   2.42,PGA(EW)=   3.00,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.92,PGV(SUM)=   0.16
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  60.95,BAZ= 24.72,PGA(V)=   2.46,PGA(NS)=   2.01,PGA(EW)=   2.27,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.10
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  64.21,BAZ=150.56,PGA(V)=   1.94,PGA(NS)=   2.89,PGA(EW)=   4.48,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   4.30,PGV(SUM)=   0.25
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  66.38,BAZ=186.88,PGA(V)=   1.37,PGA(NS)=   3.04,PGA(EW)=   3.11,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.40,PGV(SUM)=   0.19
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  75.28,BAZ= 76.69,PGA(V)=   0.81,PGA(NS)=   1.06,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.06
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  75.32,BAZ= 99.21,PGA(V)=   0.74,PGA(NS)=   1.41,PGA(EW)=   0.96,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.15
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  76.53,BAZ=132.08,PGA(V)=   0.83,PGA(NS)=   0.85,PGA(EW)=   1.10,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.07
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  77.39,BAZ=191.51,PGA(V)=   0.92,PGA(NS)=   1.63,PGA(EW)=   1.49,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.12
Stacode=A124,Staname=烏來  ,Stalon=121.55,Stalat=24.86,Dist=  77.99,BAZ=170.70,PGA(V)=   0.89,PGA(NS)=   0.97,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.06
