Origin Time:2022/03/23 05:41:08
Lon:121.42°E
Lat:23.33°N
Depth:19.3km
Mag:5.0
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  69.71,AZ=202.74,PGA(V)=   0.44,PGA(NS)=   0.87,PGA(EW)=   0.91,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.15
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  70.30,AZ=304.89,PGA(V)=   1.08,PGA(NS)=   1.34,PGA(EW)=   1.99,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.13
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  70.47,AZ=  6.23,PGA(V)=   0.95,PGA(NS)=   1.62,PGA(EW)=   2.03,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.21,PGV(SUM)=   0.09
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  73.12,AZ=340.27,PGA(V)=   1.45,PGA(NS)=   1.61,PGA(EW)=   1.36,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.06
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  73.25,AZ=175.87,PGA(V)=   0.91,PGA(NS)=   1.12,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.08
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  73.86,AZ= 15.68,PGA(V)=   0.93,PGA(NS)=   1.97,PGA(EW)=   2.56,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.51,PGV(SUM)=   0.15
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  79.94,AZ=319.43,PGA(V)=   0.47,PGA(NS)=   0.86,PGA(EW)=   0.94,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.07
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  81.08,AZ=291.16,PGA(V)=   0.70,PGA(NS)=   2.34,PGA(EW)=   2.27,PGV(V)=   0.05,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   2.38,PGV(SUM)=   0.23
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  81.97,AZ=263.08,PGA(V)=   0.34,PGA(NS)=   0.93,PGA(EW)=   1.10,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.07
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  83.93,AZ=278.00,PGA(V)=   1.08,PGA(NS)=   2.05,PGA(EW)=   1.60,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.40,PGV(SUM)=   0.15
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  87.49,AZ=244.54,PGA(V)=   0.46,PGA(NS)=   0.82,PGA(EW)=   0.50,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.03
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  88.83,AZ=307.56,PGA(V)=   0.60,PGA(NS)=   0.88,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.08
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  90.97,AZ=350.62,PGA(V)=   0.59,PGA(NS)=   1.24,PGA(EW)=   2.14,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.08
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist=  92.45,AZ=259.79,PGA(V)=   0.45,PGA(NS)=   0.76,PGA(EW)=   0.66,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  93.75,AZ= 12.89,PGA(V)=   0.53,PGA(NS)=   2.33,PGA(EW)=   1.21,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   2.39,PGV(SUM)=   0.09
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  94.90,AZ=294.21,PGA(V)=   1.03,PGA(NS)=   1.40,PGA(EW)=   1.95,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.12
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  95.33,AZ=327.21,PGA(V)=   0.22,PGA(NS)=   0.85,PGA(EW)=   0.63,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.02
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  95.42,AZ=309.13,PGA(V)=   0.68,PGA(NS)=   1.04,PGA(EW)=   1.27,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.08
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  96.99,AZ=  3.85,PGA(V)=   1.57,PGA(NS)=   1.81,PGA(EW)=   3.03,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.21,PGV(SUM)=   0.12
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  98.53,AZ=310.16,PGA(V)=   1.02,PGA(NS)=   1.19,PGA(EW)=   1.02,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.08
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  98.88,AZ=282.87,PGA(V)=   0.70,PGA(NS)=   1.25,PGA(EW)=   1.16,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.15
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  99.24,AZ=295.22,PGA(V)=   0.73,PGA(NS)=   1.42,PGA(EW)=   1.38,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.16
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 102.30,AZ=280.18,PGA(V)=   0.42,PGA(NS)=   1.15,PGA(EW)=   1.17,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.11
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 102.83,AZ=350.07,PGA(V)=   0.55,PGA(NS)=   0.77,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.06
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 104.80,AZ=345.60,PGA(V)=   0.48,PGA(NS)=   1.01,PGA(EW)=   1.02,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.07
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 106.83,AZ=242.37,PGA(V)=   0.66,PGA(NS)=   0.77,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.07
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 110.14,AZ=309.11,PGA(V)=   0.99,PGA(NS)=   1.29,PGA(EW)=   1.53,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.15
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist= 113.08,AZ= 17.36,PGA(V)=   0.98,PGA(NS)=   1.16,PGA(EW)=   1.28,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.05
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 114.84,AZ=252.51,PGA(V)=   0.40,PGA(NS)=   0.97,PGA(EW)=   1.14,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.12
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist= 115.10,AZ= 16.53,PGA(V)=   0.50,PGA(NS)=   0.40,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.04
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 115.69,AZ=276.82,PGA(V)=   0.58,PGA(NS)=   1.15,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.09
