Origin Time:2024/04/22 22:20:10
Lon:121.59°E
Lat:23.73°N
Depth:7.4km
Mag:4.8
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  71.94,BAZ=143.08,PGA(V)=   0.36,PGA(NS)=   1.56,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.65,PGV(SUM)=   0.08
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  73.35,BAZ= 17.30,PGA(V)=   0.85,PGA(NS)=   1.34,PGA(EW)=   1.94,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.79,PGV(SUM)=   0.13
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  75.21,BAZ= 31.12,PGA(V)=   0.38,PGA(NS)=   0.73,PGA(EW)=   0.61,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  78.81,BAZ=192.10,PGA(V)=   0.42,PGA(NS)=   0.98,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.05
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  79.71,BAZ= 28.09,PGA(V)=   0.43,PGA(NS)=   0.91,PGA(EW)=   0.99,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.10
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  81.06,BAZ=165.09,PGA(V)=   0.46,PGA(NS)=   0.74,PGA(EW)=   0.94,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.05
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  81.54,BAZ=193.84,PGA(V)=   0.82,PGA(NS)=   1.12,PGA(EW)=   1.12,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.09
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  82.62,BAZ= 72.71,PGA(V)=   0.32,PGA(NS)=   1.06,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.09
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  88.74,BAZ= 18.99,PGA(V)=   0.56,PGA(NS)=   1.63,PGA(EW)=   1.33,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.09
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 105.28,BAZ= 72.14,PGA(V)=   0.28,PGA(NS)=   0.70,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 105.66,BAZ=103.97,PGA(V)=   0.47,PGA(NS)=   0.71,PGA(EW)=   0.70,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.11
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 111.62,BAZ=110.28,PGA(V)=   0.55,PGA(NS)=   0.93,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.06
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 115.57,BAZ= 79.05,PGA(V)=   0.35,PGA(NS)=   0.99,PGA(EW)=   0.56,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.07
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 120.57,BAZ= 77.59,PGA(V)=   0.19,PGA(NS)=   0.83,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.10
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 124.59,BAZ= 98.82,PGA(V)=   0.36,PGA(NS)=   0.77,PGA(EW)=   0.59,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.09
