Origin Time:2023/12/02 06:27:30
Lon:121.44°E
Lat:23.42°N
Depth:23.8km
Mag:4.9
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  65.02,BAZ= 29.13,PGA(V)=   0.48,PGA(NS)=   0.79,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.06
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  65.08,BAZ=155.64,PGA(V)=   1.45,PGA(NS)=   2.36,PGA(EW)=   2.03,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.36,PGV(SUM)=   0.06
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  72.34,BAZ= 68.46,PGA(V)=   0.60,PGA(NS)=   1.71,PGA(EW)=   1.04,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.08
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  74.51,BAZ=133.39,PGA(V)=   0.33,PGA(NS)=   0.46,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.07
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  80.28,BAZ=104.22,PGA(V)=   1.10,PGA(NS)=   2.28,PGA(EW)=   2.03,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.16
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  81.99,BAZ=168.06,PGA(V)=   0.49,PGA(NS)=   0.95,PGA(EW)=   1.52,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.05
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  84.02,BAZ=192.89,PGA(V)=   0.28,PGA(NS)=   1.49,PGA(EW)=   0.75,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.04
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  85.17,BAZ=121.58,PGA(V)=   0.37,PGA(NS)=   0.87,PGA(EW)=   0.53,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.05
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  85.28,BAZ= 91.45,PGA(V)=   0.71,PGA(NS)=   1.97,PGA(EW)=   1.70,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.02,PGV(SUM)=   0.10
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  85.74,BAZ= 76.91,PGA(V)=   0.31,PGA(NS)=   0.80,PGA(EW)=   0.57,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  87.34,BAZ=182.85,PGA(V)=   1.11,PGA(NS)=   2.03,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   2.07,PGV(SUM)=   0.08
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  91.46,BAZ=123.63,PGA(V)=   0.40,PGA(NS)=   0.97,PGA(EW)=   1.34,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.08
