Origin Time:2024/05/30 23:52:17
Lon:121.65¢XE
Lat:23.96¢XN
Depth:37.5km
Mag:5.0
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  59.16,BAZ=152.64,PGA(V)=   1.63,PGA(NS)=   5.48,PGA(EW)=   4.95,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   5.94,PGV(SUM)=   0.25
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  60.37,BAZ= 32.61,PGA(V)=   1.14,PGA(NS)=   2.07,PGA(EW)=   2.82,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.42,PGV(SUM)=   0.07
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  70.59,BAZ= 94.45,PGA(V)=   0.63,PGA(NS)=   0.69,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.08
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  72.17,BAZ=168.95,PGA(V)=   0.62,PGA(NS)=   0.86,PGA(EW)=   1.52,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.08
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  74.40,BAZ= 15.74,PGA(V)=   0.73,PGA(NS)=   1.39,PGA(EW)=   1.22,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.11
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  74.60,BAZ=196.69,PGA(V)=   0.69,PGA(NS)=   0.93,PGA(EW)=   1.51,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.06
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  74.64,BAZ=185.29,PGA(V)=   1.05,PGA(NS)=   1.43,PGA(EW)=   2.13,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.35,PGV(SUM)=   0.10
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  75.13,BAZ=174.16,PGA(V)=   0.92,PGA(NS)=   3.28,PGA(EW)=   3.84,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.38,PGV(SUM)=   0.09
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  75.72,BAZ= 97.87,PGA(V)=   0.49,PGA(NS)=   1.03,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.04
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  75.95,BAZ= 83.16,PGA(V)=   0.39,PGA(NS)=   0.69,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.11
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  79.52,BAZ=116.00,PGA(V)=   0.60,PGA(NS)=   1.54,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.83,PGV(SUM)=   0.09
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  83.71,BAZ=182.36,PGA(V)=   0.55,PGA(NS)=   1.19,PGA(EW)=   1.22,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.07
