Origin Time:2016/05/12 11:17:15
Lon:121.98°E
Lat:24.69°N
Depth:8.9km
Mag:6.1
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  96.41,AZ= 59.42,PGA(V)=   3.23,PGA(NS)=   6.70,PGA(EW)=   6.28
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist=  97.79,AZ= 95.63,PGA(V)=   5.08,PGA(NS)=  11.25,PGA(EW)=  14.06
Stacode=NST ,Staname=獅頭山,Stalon=121.01,Stalat=24.63,Dist=  98.59,AZ= 85.98,PGA(V)=   4.97,PGA(NS)=   9.45,PGA(EW)=  15.61
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  98.87,AZ= 98.79,PGA(V)=   5.08,PGA(NS)=  19.74,PGA(EW)=   8.61
Stacode=ESF ,Staname=壽豐  ,Stalon=121.51,Stalat=23.87,Dist= 102.85,AZ= 27.83,PGA(V)=   2.75,PGA(NS)=   5.38,PGA(EW)=   5.50
Stacode=NSD ,Staname=獅潭  ,Stalon=120.92,Stalat=24.54,Dist= 108.60,AZ= 81.09,PGA(V)=   3.53,PGA(NS)=  10.05,PGA(EW)=  13.40
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist= 111.78,AZ= 29.31,PGA(V)=   1.26,PGA(NS)=   2.81,PGA(EW)=   3.17
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 112.33,AZ= 89.53,PGA(V)=   3.29,PGA(NS)=  13.52,PGA(EW)=  10.05
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist= 117.52,AZ= 21.97,PGA(V)=   1.20,PGA(NS)=   2.81,PGA(EW)=   3.71
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.57,Dist= 117.74,AZ= 83.15,PGA(V)=   5.20,PGA(NS)=  11.84,PGA(EW)=  10.89
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist= 122.50,AZ= 24.39,PGA(V)=   2.15,PGA(NS)=   4.07,PGA(EW)=   4.43
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist= 126.05,AZ= 67.62,PGA(V)=   2.33,PGA(NS)=   4.55,PGA(EW)=   3.77
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 126.45,AZ= 75.93,PGA(V)=   2.33,PGA(NS)=   5.50,PGA(EW)=   4.79
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 127.42,AZ= 72.53,PGA(V)=   2.87,PGA(NS)=   5.03,PGA(EW)=   3.47
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist= 128.21,AZ= 54.06,PGA(V)=   1.68,PGA(NS)=   1.79,PGA(EW)=   2.69
Stacode=WYP ,Staname=外埔  ,Stalon=120.65,Stalat=24.33,Dist= 140.22,AZ= 73.54,PGA(V)=   1.91,PGA(NS)=   5.26,PGA(EW)=   3.23
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 141.07,AZ= 50.49,PGA(V)=   1.38,PGA(NS)=   3.17,PGA(EW)=   3.47
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist= 142.48,AZ= 52.30,PGA(V)=   1.26,PGA(NS)=   1.62,PGA(EW)=   1.26
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 144.71,AZ= 65.29,PGA(V)=   1.38,PGA(NS)=   2.81,PGA(EW)=   2.39
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist= 147.35,AZ= 26.75,PGA(V)=   0.60,PGA(NS)=   1.02,PGA(EW)=   0.78
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 148.61,AZ= 61.07,PGA(V)=   1.56,PGA(NS)=   2.21,PGA(EW)=   2.09
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 157.00,AZ= 66.86,PGA(V)=   1.74,PGA(NS)=   4.07,PGA(EW)=   4.13
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 158.06,AZ= 56.62,PGA(V)=   1.32,PGA(NS)=   2.33,PGA(EW)=   2.51
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 158.88,AZ= 55.37,PGA(V)=   1.14,PGA(NS)=   1.62,PGA(EW)=   2.21
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 159.43,AZ= 64.92,PGA(V)=   1.91,PGA(NS)=   2.99,PGA(EW)=   3.05
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist= 161.58,AZ= 19.46,PGA(V)=   1.02,PGA(NS)=   1.79,PGA(EW)=   1.56
