Origin Time:2016/11/07 19:56:26
Lon:121.34°E
Lat:23.03°N
Depth:20.5km
Mag:5.1
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 118.45,AZ=145.11,PGA(V)=   0.78,PGA(NS)=   1.38,PGA(EW)=   2.03
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 123.59,AZ=176.65,PGA(V)=   0.42,PGA(NS)=   0.72,PGA(EW)=   1.26
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 123.61,AZ=113.99,PGA(V)=   0.42,PGA(NS)=   1.68,PGA(EW)=   1.50
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 129.26,AZ=142.91,PGA(V)=   1.68,PGA(NS)=   5.44,PGA(EW)=   4.67
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 129.43,AZ= 95.76,PGA(V)=   0.30,PGA(NS)=   2.63,PGA(EW)=   1.97
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 130.11,AZ=149.59,PGA(V)=   0.36,PGA(NS)=   0.60,PGA(EW)=   0.96
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 132.21,AZ=120.55,PGA(V)=   0.36,PGA(NS)=   1.44,PGA(EW)=   1.62
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 136.33,AZ=172.18,PGA(V)=   0.30,PGA(NS)=   0.90,PGA(EW)=   0.42
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 141.51,AZ=145.43,PGA(V)=   0.66,PGA(NS)=   1.26,PGA(EW)=   0.90
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 141.75,AZ=130.54,PGA(V)=   0.30,PGA(NS)=   0.84,PGA(EW)=   0.78
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 146.38,AZ=146.74,PGA(V)=   0.66,PGA(NS)=   1.56,PGA(EW)=   1.26
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 156.73,AZ=158.53,PGA(V)=   0.48,PGA(NS)=   1.14,PGA(EW)=   1.02
