Origin Time:2024/04/13 02:44:36
Lon:120.20°E
Lat:23.36°N
Depth:11.2km
Mag:5.0
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  52.14,BAZ=226.16,PGA(V)=   3.23,PGA(NS)=   8.62,PGA(EW)=   7.53,PGV(V)=   0.10,PGV(NS)=   0.46,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  10.39,PGV(SUM)=   0.52
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  52.34,BAZ=221.02,PGA(V)=   3.84,PGA(NS)=   5.17,PGA(EW)=   4.37,PGV(V)=   0.10,PGV(NS)=   0.32,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.05,PGV(SUM)=   0.33
Stacode=D009,Staname=路竹  ,Stalon=120.26,Stalat=22.87,Dist=  54.73,BAZ=353.31,PGA(V)=   1.30,PGA(NS)=   2.92,PGA(EW)=   2.70,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.17
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  55.25,BAZ=241.39,PGA(V)=   1.52,PGA(NS)=   4.03,PGA(EW)=   3.33,PGV(V)=   0.06,PGV(NS)=   0.23,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.39,PGV(SUM)=   0.23
Stacode=WDG ,Staname=東吉島,Stalon=119.67,Stalat=23.26,Dist=  55.80,BAZ= 78.43,PGA(V)=   1.37,PGA(NS)=   1.94,PGA(EW)=   1.31,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.97,PGV(SUM)=   0.15
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist=  55.81,BAZ=211.31,PGA(V)=   4.56,PGA(NS)=   4.66,PGA(EW)=   4.36,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   5.46,PGV(SUM)=   0.17
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist=  56.45,BAZ=189.07,PGA(V)=   2.97,PGA(NS)=   5.43,PGA(EW)=   6.85,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   6.57,PGV(SUM)=   0.20
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  60.29,BAZ=330.29,PGA(V)=   2.84,PGA(NS)=   4.89,PGA(EW)=   4.07,PGV(V)=   0.10,PGV(NS)=   0.29,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   5.11,PGV(SUM)=   0.31
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  60.84,BAZ=311.64,PGA(V)=   0.64,PGA(NS)=   2.25,PGA(EW)=   1.62,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.66,PGV(SUM)=   0.14
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  62.47,BAZ=288.50,PGA(V)=   1.94,PGA(NS)=   2.65,PGA(EW)=   2.23,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   2.59,PGV(SUM)=   0.08
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist=  62.90,BAZ=196.60,PGA(V)=   3.52,PGA(NS)=   3.27,PGA(EW)=   3.06,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.13
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  64.64,BAZ=255.10,PGA(V)=   1.18,PGA(NS)=   1.61,PGA(EW)=   2.33,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.14
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist=  68.38,BAZ=348.49,PGA(V)=   1.92,PGA(NS)=   4.72,PGA(EW)=   3.21,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   4.43,PGV(SUM)=   0.25
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist=  69.13,BAZ=109.36,PGA(V)=   1.72,PGA(NS)=   4.02,PGA(EW)=   4.47,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.09
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  74.27,BAZ=226.27,PGA(V)=   0.69,PGA(NS)=   0.99,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.06
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  76.15,BAZ=221.09,PGA(V)=   0.96,PGA(NS)=   2.00,PGA(EW)=   1.69,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.09
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  76.29,BAZ=240.64,PGA(V)=   0.71,PGA(NS)=   1.67,PGA(EW)=   1.36,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.07
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  76.61,BAZ=336.62,PGA(V)=   0.41,PGA(NS)=   1.18,PGA(EW)=   1.11,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.10
