Origin Time:2022/11/15 19:53:21
Lon:121.03¢XE
Lat:22.40¢XN
Depth:10.6km
Mag:5.1
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  64.91,BAZ=123.26,PGA(V)=   0.40,PGA(NS)=   1.03,PGA(EW)=   0.87,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.14
Stacode=WLC ,Staname=¤p¯[²y,Stalon=120.37,Stalat=22.35,Dist=  67.95,BAZ= 84.82,PGA(V)=   0.32,PGA(NS)=   1.32,PGA(EW)=   0.95,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.19
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist=  68.09,BAZ=306.39,PGA(V)=   0.87,PGA(NS)=   2.60,PGA(EW)=   2.04,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.59,PGV(SUM)=   0.09
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  69.30,BAZ=204.30,PGA(V)=   0.58,PGA(NS)=   1.08,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.07
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  76.56,BAZ=134.37,PGA(V)=   1.30,PGA(NS)=   1.68,PGA(EW)=   1.31,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.81,PGV(SUM)=   0.15
Stacode=KAU1,Staname=°ª¶¯¥«,Stalon=120.31,Stalat=22.59,Dist=  76.97,BAZ=105.99,PGA(V)=   0.67,PGA(NS)=   1.01,PGA(EW)=   1.23,PGV(V)=   0.07,PGV(NS)=   0.21,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.22
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  79.27,BAZ=194.47,PGA(V)=   0.48,PGA(NS)=   1.46,PGA(EW)=   0.89,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.09
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  81.00,BAZ=118.69,PGA(V)=   0.70,PGA(NS)=   1.06,PGA(EW)=   1.41,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.18
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  84.86,BAZ=204.80,PGA(V)=   0.28,PGA(NS)=   0.68,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.06
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  97.76,BAZ=134.53,PGA(V)=   0.74,PGA(NS)=   1.09,PGA(EW)=   1.75,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.19
