Origin Time:2024/04/26 20:28:12
Lon:121.54°E
Lat:23.80°N
Depth:5.1km
Mag:5.0
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  68.60,BAZ= 59.70,PGA(V)=   0.35,PGA(NS)=   1.12,PGA(EW)=   1.19,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.09
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  70.00,BAZ=113.97,PGA(V)=   0.37,PGA(NS)=   0.87,PGA(EW)=   0.49,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.08
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  72.43,BAZ=167.13,PGA(V)=   0.39,PGA(NS)=   1.05,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.08
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  75.45,BAZ=198.73,PGA(V)=   0.54,PGA(NS)=   1.31,PGA(EW)=   1.21,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.12
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  82.78,BAZ= 91.69,PGA(V)=   0.26,PGA(NS)=   0.68,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.07
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  90.83,BAZ= 75.70,PGA(V)=   0.27,PGA(NS)=   1.06,PGA(EW)=   1.47,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.12
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 102.51,BAZ= 84.74,PGA(V)=   0.61,PGA(NS)=   0.99,PGA(EW)=   1.33,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.12
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 103.48,BAZ= 67.26,PGA(V)=   0.28,PGA(NS)=   0.92,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.08
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 104.62,BAZ=107.22,PGA(V)=   0.76,PGA(NS)=   1.21,PGA(EW)=   1.84,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.11
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 107.39,BAZ= 89.35,PGA(V)=   0.38,PGA(NS)=   0.99,PGA(EW)=   1.36,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.10
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 114.40,BAZ=161.12,PGA(V)=   0.28,PGA(NS)=   0.57,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.10
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 115.12,BAZ=116.07,PGA(V)=   2.09,PGA(NS)=   0.99,PGA(EW)=   1.09,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.17
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 116.45,BAZ=104.06,PGA(V)=   0.34,PGA(NS)=   0.83,PGA(EW)=   0.62,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.12
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 117.87,BAZ= 73.43,PGA(V)=   0.16,PGA(NS)=   0.79,PGA(EW)=   0.66,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.08
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 118.03,BAZ= 83.95,PGA(V)=   0.27,PGA(NS)=   1.11,PGA(EW)=   1.07,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.09
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 118.89,BAZ= 95.49,PGA(V)=   0.50,PGA(NS)=   1.47,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.12
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 127.61,BAZ= 93.08,PGA(V)=   0.23,PGA(NS)=   1.39,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.14,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.14
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 134.81,BAZ= 82.28,PGA(V)=   0.18,PGA(NS)=   0.52,PGA(EW)=   0.73,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 137.32,BAZ= 77.08,PGA(V)=   0.18,PGA(NS)=   0.49,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.08
