Origin Time:2020/06/11 09:38:26
Lon:122.39°E
Lat:24.50°N
Depth:90.8km
Mag:5.4
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 103.42,AZ= 50.33,PGA(V)=   2.24,PGA(NS)=   4.04,PGA(EW)=   3.51,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.18,PGV(SUM)=   0.17
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 105.00,AZ=100.56,PGA(V)=   1.21,PGA(NS)=   1.51,PGA(EW)=   1.30,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.06
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 106.41,AZ=124.05,PGA(V)=   1.63,PGA(NS)=   1.94,PGA(EW)=   1.29,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.07,PGV(SUM)=   0.09
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist= 108.28,AZ= 56.87,PGA(V)=   3.39,PGA(NS)=   3.03,PGA(EW)=   3.17,PGV(V)=   0.08,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.81,PGV(SUM)=   0.13
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 110.24,AZ=120.00,PGA(V)=   1.52,PGA(NS)=   1.80,PGA(EW)=   1.74,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.97,PGV(SUM)=   0.07
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist= 114.98,AZ= 46.67,PGA(V)=   0.95,PGA(NS)=   1.46,PGA(EW)=   2.68,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.59,PGV(SUM)=   0.11
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 117.92,AZ=124.41,PGA(V)=   1.12,PGA(NS)=   1.30,PGA(EW)=   1.30,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.05
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 119.16,AZ= 76.44,PGA(V)=   1.42,PGA(NS)=   1.23,PGA(EW)=   1.29,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.03
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 119.68,AZ= 70.74,PGA(V)=   1.52,PGA(NS)=   1.54,PGA(EW)=   2.92,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.08
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist= 122.29,AZ= 44.17,PGA(V)=   1.92,PGA(NS)=   4.10,PGA(EW)=   2.83,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.42,PGV(SUM)=   0.12
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist= 122.50,AZ= 51.55,PGA(V)=   1.21,PGA(NS)=   2.57,PGA(EW)=   2.66,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.06
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 123.20,AZ=116.71,PGA(V)=   1.70,PGA(NS)=   2.98,PGA(EW)=   3.55,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.08
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 126.24,AZ=104.05,PGA(V)=   1.29,PGA(NS)=   1.78,PGA(EW)=   1.78,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.82,PGV(SUM)=   0.06
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 127.19,AZ= 77.41,PGA(V)=   0.96,PGA(NS)=   1.80,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.84,PGV(SUM)=   0.06
