Origin Time:2015/10/13 19:49:04
Lon:121.65°E
Lat:23.48°N
Depth:49.1km
Mag:5.5
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist= 108.66,AZ= 82.20,PGA(V)=   1.50,PGA(NS)=   2.63,PGA(EW)=   3.71
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 108.97,AZ=165.60,PGA(V)=   0.90,PGA(NS)=   3.95,PGA(EW)=   2.39
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 109.19,AZ=115.36,PGA(V)=   2.63,PGA(NS)=   2.09,PGA(EW)=   2.69
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 111.09,AZ=109.00,PGA(V)=   3.47,PGA(NS)=   4.61,PGA(EW)=   4.85
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 112.15,AZ=101.39,PGA(V)=   1.68,PGA(NS)=   4.55,PGA(EW)=   3.95
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 114.81,AZ=122.58,PGA(V)=   2.15,PGA(NS)=   3.83,PGA(EW)=   2.81
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 116.02,AZ=102.71,PGA(V)=   3.29,PGA(NS)=   5.08,PGA(EW)=   5.92
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 117.00,AZ= 67.51,PGA(V)=   1.32,PGA(NS)=   2.63,PGA(EW)=   2.03
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 119.13,AZ= 73.83,PGA(V)=   1.44,PGA(NS)=   2.39,PGA(EW)=   2.81
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist= 119.46,AZ=135.85,PGA(V)=   1.79,PGA(NS)=   1.85,PGA(EW)=   2.39
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 119.59,AZ= 78.21,PGA(V)=   1.14,PGA(NS)=   2.15,PGA(EW)=   1.91
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist= 120.91,AZ= 35.53,PGA(V)=   1.20,PGA(NS)=   1.62,PGA(EW)=   2.45
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 120.93,AZ=115.84,PGA(V)=   5.80,PGA(NS)=   5.26,PGA(EW)=   7.36
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 122.47,AZ=126.72,PGA(V)=   1.50,PGA(NS)=   2.03,PGA(EW)=   1.56
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 124.08,AZ= 90.59,PGA(V)=   1.08,PGA(NS)=   3.41,PGA(EW)=   3.71
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 127.90,AZ=176.64,PGA(V)=   0.54,PGA(NS)=   1.85,PGA(EW)=   1.79
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 129.34,AZ=120.75,PGA(V)=   4.37,PGA(NS)=  11.43,PGA(EW)=  10.29
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 130.00,AZ=137.26,PGA(V)=   1.32,PGA(NS)=   2.09,PGA(EW)=   1.91
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist= 131.77,AZ= 51.53,PGA(V)=   2.09,PGA(NS)=   3.23,PGA(EW)=   2.69
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 132.42,AZ=122.94,PGA(V)=   2.45,PGA(NS)=   5.62,PGA(EW)=   4.37
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 134.78,AZ=167.77,PGA(V)=   0.66,PGA(NS)=   1.02,PGA(EW)=   1.26
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 136.35,AZ=139.05,PGA(V)=   1.02,PGA(NS)=   1.68,PGA(EW)=   0.72
Stacode=WYP ,Staname=外埔  ,Stalon=120.65,Stalat=24.33,Dist= 138.13,AZ=132.88,PGA(V)=   0.66,PGA(NS)=   1.32,PGA(EW)=   1.26
