Origin Time:2015/11/05 17:06:26
Lon:121.83°E
Lat:23.93°N
Depth:47.9km
Mag:5.0
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 127.07,AZ= 91.53,PGA(V)=   2.33,PGA(NS)=   2.81,PGA(EW)=   3.59
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 130.42,AZ= 97.41,PGA(V)=   1.74,PGA(NS)=   3.23,PGA(EW)=   3.17
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 131.00,AZ= 78.03,PGA(V)=   1.26,PGA(NS)=   3.17,PGA(EW)=   4.13
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 131.28,AZ= 99.95,PGA(V)=   1.38,PGA(NS)=   1.91,PGA(EW)=   2.21
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 133.51,AZ= 79.73,PGA(V)=   1.56,PGA(NS)=   2.69,PGA(EW)=   2.75
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist= 137.90,AZ= 51.85,PGA(V)=   0.24,PGA(NS)=   0.60,PGA(EW)=   0.90
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist= 141.26,AZ= 63.03,PGA(V)=   0.54,PGA(NS)=   1.50,PGA(EW)=   1.44
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 150.16,AZ= 71.34,PGA(V)=   0.54,PGA(NS)=   1.08,PGA(EW)=   1.85
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 156.89,AZ= 87.24,PGA(V)=   1.44,PGA(NS)=   4.19,PGA(EW)=   3.05
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 166.08,AZ= 78.71,PGA(V)=   1.68,PGA(NS)=   4.97,PGA(EW)=   5.14
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 169.36,AZ= 73.02,PGA(V)=   0.54,PGA(NS)=   1.02,PGA(EW)=   0.84
