Origin Time:2023/11/21 01:16:35
Lon:120.86°E
Lat:23.82°N
Depth:28.9km
Mag:4.6
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist=  49.66,BAZ=100.70,PGA(V)=   4.41,PGA(NS)=   6.19,PGA(EW)=   6.17,PGV(V)=   0.10,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   5.67,PGV(SUM)=   0.17
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  49.94,BAZ= 73.01,PGA(V)=   3.01,PGA(NS)=   6.15,PGA(EW)=   5.14,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   5.67,PGV(SUM)=   0.14
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  50.37,BAZ= 50.81,PGA(V)=   2.33,PGA(NS)=   4.63,PGA(EW)=   4.93,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.83,PGV(SUM)=   0.10
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  51.56,BAZ=190.07,PGA(V)=   7.97,PGA(NS)=   4.59,PGA(EW)=   3.06,PGV(V)=   0.14,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   5.64,PGV(SUM)=   0.14
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  55.45,BAZ=229.66,PGA(V)=   0.84,PGA(NS)=   2.79,PGA(EW)=   3.11,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.24,PGV(SUM)=   0.13
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  56.18,BAZ= 50.45,PGA(V)=   1.21,PGA(NS)=   1.85,PGA(EW)=   2.13,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.98,PGV(SUM)=   0.08
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  56.83,BAZ=213.04,PGA(V)=   1.60,PGA(NS)=   3.96,PGA(EW)=   1.86,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   3.81,PGV(SUM)=   0.13
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist=  58.05,BAZ= 94.64,PGA(V)=   2.28,PGA(NS)=   4.12,PGA(EW)=   4.05,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.60,PGV(SUM)=   0.11
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  58.90,BAZ=172.43,PGA(V)=   1.12,PGA(NS)=   1.82,PGA(EW)=   1.58,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.11
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist=  59.14,BAZ=144.97,PGA(V)=   3.88,PGA(NS)=   5.87,PGA(EW)=   9.08,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.33,Int= 3級,PGA(SUM)=   8.87,PGV(SUM)=   0.34
