Origin Time:2022/04/12 12:14:38
Lon:120.64¢XE
Lat:22.90¢XN
Depth:17.2km
Mag:4.6
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  50.51,AZ= 89.72,PGA(V)=   2.67,PGA(NS)=   2.45,PGA(EW)=   2.87,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.06,PGV(SUM)=   0.15
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  50.58,AZ= 51.72,PGA(V)=   1.10,PGA(NS)=   1.55,PGA(EW)=   1.45,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.71,PGV(SUM)=   0.08
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  53.70,AZ=303.74,PGA(V)=   0.88,PGA(NS)=   1.10,PGA(EW)=   1.62,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.06
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  55.70,AZ=107.56,PGA(V)=   0.65,PGA(NS)=   1.48,PGA(EW)=   1.40,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.12
Stacode=SCZ ,Staname=¬K¤é  ,Stalon=120.63,Stalat=22.37,Dist=  59.13,AZ=180.93,PGA(V)=   0.27,PGA(NS)=   0.80,PGA(EW)=   0.91,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.04
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  59.27,AZ=356.75,PGA(V)=   0.51,PGA(NS)=   1.53,PGA(EW)=   1.66,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.65,PGV(SUM)=   0.07
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  62.04,AZ=158.74,PGA(V)=   0.43,PGA(NS)=   1.08,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.04
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist=  62.53,AZ=295.44,PGA(V)=   1.65,PGA(NS)=   4.86,PGA(EW)=   2.72,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   4.93,PGV(SUM)=   0.16
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  63.27,AZ= 70.46,PGA(V)=   1.54,PGA(NS)=   2.48,PGA(EW)=   2.50,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.98,PGV(SUM)=   0.14
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  64.26,AZ= 65.07,PGA(V)=   1.57,PGA(NS)=   1.77,PGA(EW)=   1.39,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.08
