Origin Time:2016/05/22 04:51:40
Lon:120.61°E
Lat:22.90°N
Depth:18.1km
Mag:5.3
Stacode=TWF1,Staname=玉里  ,Stalon=121.31,Stalat=23.35,Dist=  86.82,AZ=235.10,PGA(V)=   0.72,PGA(NS)=   0.84,PGA(EW)=   0.90
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  90.09,AZ=154.42,PGA(V)=   3.29,PGA(NS)=   6.46,PGA(EW)=   6.34
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist=  90.28,AZ=175.35,PGA(V)=   0.90,PGA(NS)=   2.33,PGA(EW)=   2.21
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 100.51,AZ=352.00,PGA(V)=   0.66,PGA(NS)=   2.15,PGA(EW)=   2.57
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 100.62,AZ=180.45,PGA(V)=   0.90,PGA(NS)=   1.14,PGA(EW)=   1.62
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 108.22,AZ=184.47,PGA(V)=   0.48,PGA(NS)=   1.26,PGA(EW)=   1.02
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 111.16,AZ=162.83,PGA(V)=   0.54,PGA(NS)=   1.26,PGA(EW)=   1.62
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 112.62,AZ=195.70,PGA(V)=   0.60,PGA(NS)=   2.57,PGA(EW)=   2.63
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 113.76,AZ=347.18,PGA(V)=   0.42,PGA(NS)=   0.78,PGA(EW)=   0.96
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist= 114.17,AZ=193.44,PGA(V)=   0.36,PGA(NS)=   1.08,PGA(EW)=   0.84
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 117.21,AZ=178.50,PGA(V)=   0.84,PGA(NS)=   1.32,PGA(EW)=   1.32
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist= 124.35,AZ=225.86,PGA(V)=   0.66,PGA(NS)=   1.08,PGA(EW)=   1.02
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 126.60,AZ=184.09,PGA(V)=   0.42,PGA(NS)=   0.78,PGA(EW)=   0.96
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 129.81,AZ=124.42,PGA(V)=   0.24,PGA(NS)=   0.84,PGA(EW)=   0.54
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 130.71,AZ=177.62,PGA(V)=   0.72,PGA(NS)=   1.56,PGA(EW)=   1.44
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 136.57,AZ=177.72,PGA(V)=   0.48,PGA(NS)=   0.96,PGA(EW)=   0.78
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 136.74,AZ=314.48,PGA(V)=   0.42,PGA(NS)=   1.50,PGA(EW)=   1.50
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 137.89,AZ=183.14,PGA(V)=   0.24,PGA(NS)=   0.84,PGA(EW)=   0.66
Stacode=ESF ,Staname=壽豐  ,Stalon=121.51,Stalat=23.87,Dist= 141.10,AZ=220.54,PGA(V)=   0.30,PGA(NS)=   0.96,PGA(EW)=   1.08
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist= 151.85,AZ=188.52,PGA(V)=   0.36,PGA(NS)=   0.84,PGA(EW)=   0.72
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 153.18,AZ=206.21,PGA(V)=   0.36,PGA(NS)=   0.72,PGA(EW)=   0.84
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 160.87,AZ=186.22,PGA(V)=   0.48,PGA(NS)=   0.60,PGA(EW)=   0.90
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 199.04,AZ=187.66,PGA(V)=   0.18,PGA(NS)=   0.90,PGA(EW)=   0.54
