Origin Time:2023/10/11 18:36:57
Lon:121.24°E
Lat:23.27°N
Depth:14.5km
Mag:5.8
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=   9.74,BAZ=328.37,PGA(V)= 163.69,PGA(NS)= 293.93,PGA(EW)= 543.52,PGV(V)=   6.59,PGV(NS)=  16.72,PGV(EW)=  27.98,Int= 5弱,PGA(SUM)= 554.30,PGV(SUM)=  29.59
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  65.55,BAZ=209.76,PGA(V)=   2.98,PGA(NS)=   4.93,PGA(EW)=   6.43,PGV(V)=   0.19,PGV(NS)=   0.34,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   6.49,PGV(SUM)=   0.42
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  67.86,BAZ=105.61,PGA(V)=   2.73,PGA(NS)=   7.10,PGA(EW)=   7.17,PGV(V)=   0.28,PGV(NS)=   0.53,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=   9.29,PGV(SUM)=   0.54
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  68.13,BAZ=121.73,PGA(V)=   4.70,PGA(NS)=   6.26,PGA(EW)=  10.74,PGV(V)=   0.34,PGV(NS)=   0.54,PGV(EW)=   0.70,Int= 3級,PGA(SUM)=  10.93,PGV(SUM)=   0.92
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  70.21,BAZ= 72.25,PGA(V)=   1.07,PGA(NS)=   2.20,PGA(EW)=   2.18,PGV(V)=   0.12,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.19
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  70.38,BAZ=340.85,PGA(V)=   1.42,PGA(NS)=   2.99,PGA(EW)=   2.24,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   3.17,PGV(SUM)=   0.23
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  73.87,BAZ= 82.35,PGA(V)=   2.24,PGA(NS)=   7.76,PGA(EW)=   5.61,PGV(V)=   0.24,PGV(NS)=   0.71,PGV(EW)=   0.51,Int= 3級,PGA(SUM)=   8.61,PGV(SUM)=   0.90
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  75.52,BAZ=153.01,PGA(V)=   2.62,PGA(NS)=   7.77,PGA(EW)=  13.37,PGV(V)=   0.22,PGV(NS)=   0.60,PGV(EW)=   0.94,Int= 3級,PGA(SUM)=  13.68,PGV(SUM)=   0.96
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  75.72,BAZ=174.73,PGA(V)=  11.08,PGA(NS)=  13.48,PGA(EW)=  13.60,PGV(V)=   0.39,PGV(NS)=   0.55,PGV(EW)=   0.62,Int= 3級,PGA(SUM)=  20.65,PGV(SUM)=   0.77
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  78.73,BAZ=207.63,PGA(V)=   3.99,PGA(NS)=   6.90,PGA(EW)=   7.81,PGV(V)=   0.24,PGV(NS)=   0.48,PGV(EW)=   0.43,Int= 3級,PGA(SUM)=   9.35,PGV(SUM)=   0.52
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  79.67,BAZ=151.36,PGA(V)=   0.97,PGA(NS)=   1.80,PGA(EW)=   1.48,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.79,PGV(SUM)=   0.18
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  80.39,BAZ=139.05,PGA(V)=   2.30,PGA(NS)=   4.42,PGA(EW)=   6.82,PGV(V)=   0.23,PGV(NS)=   0.49,PGV(EW)=   0.56,Int= 2級,PGA(SUM)=   6.88,PGV(SUM)=   0.65
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  80.47,BAZ= 21.09,PGA(V)=   1.39,PGA(NS)=   3.43,PGA(EW)=   3.25,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.56,PGV(SUM)=   0.18
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  80.76,BAZ=198.32,PGA(V)=   5.85,PGA(NS)=   8.17,PGA(EW)=   8.64,PGV(V)=   0.29,PGV(NS)=   0.30,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=   8.85,PGV(SUM)=   0.53
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  82.49,BAZ=123.47,PGA(V)=   2.42,PGA(NS)=   6.06,PGA(EW)=   5.26,PGV(V)=   0.33,PGV(NS)=   0.72,PGV(EW)=   0.75,Int= 2級,PGA(SUM)=   6.25,PGV(SUM)=   0.93
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  83.69,BAZ=109.98,PGA(V)=   3.58,PGA(NS)=   6.15,PGA(EW)=   6.55,PGV(V)=   0.37,PGV(NS)=   0.97,PGV(EW)=   0.64,Int= 2級,PGA(SUM)=   6.66,PGV(SUM)=   0.99
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  85.26,BAZ= 46.56,PGA(V)=   1.25,PGA(NS)=   2.18,PGA(EW)=   1.87,PGV(V)=   0.10,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.05,PGV(SUM)=   0.10
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  86.34,BAZ=205.89,PGA(V)=   2.73,PGA(NS)=   8.19,PGA(EW)=   7.86,PGV(V)=   0.17,PGV(NS)=   0.42,PGV(EW)=   0.44,Int= 3級,PGA(SUM)=   8.61,PGV(SUM)=   0.44
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  86.53,BAZ=106.55,PGA(V)=   1.58,PGA(NS)=   4.91,PGA(EW)=   5.01,PGV(V)=   0.20,PGV(NS)=   0.71,PGV(EW)=   0.65,Int= 2級,PGA(SUM)=   5.54,PGV(SUM)=   0.90
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  87.06,BAZ=124.14,PGA(V)=   3.25,PGA(NS)=   5.41,PGA(EW)=   7.92,PGV(V)=   0.42,PGV(NS)=   0.91,PGV(EW)=   0.70,Int= 3級,PGA(SUM)=   8.14,PGV(SUM)=   0.94
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  87.34,BAZ=139.87,PGA(V)=   2.92,PGA(NS)=   5.99,PGA(EW)=   5.39,PGV(V)=   0.22,PGV(NS)=   0.70,PGV(EW)=   0.62,Int= 2級,PGA(SUM)=   6.46,PGV(SUM)=   0.93
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  88.06,BAZ= 60.78,PGA(V)=   2.51,PGA(NS)=   3.79,PGA(EW)=   3.01,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.90,PGV(SUM)=   0.27
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  90.73,BAZ=140.64,PGA(V)=   3.80,PGA(NS)=   6.02,PGA(EW)=   4.53,PGV(V)=   0.25,PGV(NS)=   0.68,PGV(EW)=   0.52,Int= 2級,PGA(SUM)=   6.36,PGV(SUM)=   0.84
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  93.10,BAZ=158.65,PGA(V)=   1.17,PGA(NS)=   3.08,PGA(EW)=   2.83,PGV(V)=   0.10,PGV(NS)=   0.24,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   3.80,PGV(SUM)=   0.26
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  96.37,BAZ=181.73,PGA(V)=   5.85,PGA(NS)=   7.72,PGA(EW)=  16.69,PGV(V)=   0.33,PGV(NS)=   0.52,PGV(EW)=   0.86,Int= 3級,PGA(SUM)=  17.91,PGV(SUM)=   0.97
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  96.70,BAZ=202.35,PGA(V)=   1.07,PGA(NS)=   1.70,PGA(EW)=   1.52,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.20,PGV(SUM)=   0.13
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  97.72,BAZ= 51.42,PGA(V)=   0.83,PGA(NS)=   2.01,PGA(EW)=   2.47,PGV(V)=   0.15,PGV(NS)=   0.18,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.34
